F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
539,1281,2398,3336,4203
422,1250,2484,3289,4141
438,1297,2578,3086,3898
547,1227,2578,3156,3898
422,1297,2578,3289,4070
508,1164,2578,2977,4055
500,1180,2992,4109,4523
500,1094,2992,3977,4492
500,1266,2977,3945,4492
500,1039,1313,2961,3961
500,1344,2734,3234,4250
523,1477,3000,3344,4180
500,1430,3063,3961,4797
289,1375,3180,3789,4758
289,1344,3219,3945,4773
266,492,1328,3102,4602
289,1281,1922,3391,4602
297,2008,3156,3898,4625
320,2156,3141,3898,4656
328,2203,3203,3805,4836
336,2195,3266,4102,4859
461,2164,3258,4375,4828
320,430,2133,3281,4219
0,289,2234,3266,4109
0,313,2063,3219,4109
430,2008,3148,3859,4359
477,2164,3219,3680,4359
492,2242,3117,3664,4273
477,1680,2117,3555,4352
461,1594,2086,3250,3734
453,1141,1391,3242,3766
305,859,2555,3234,3922
984,1375,2602,3234,3922
672,1039,2266,3211,4102
664,2297,2641,3234,4102
563,1070,1898,2352,3203
516,844,1898,2430,3234
352,1039,1938,2453,3234
367,1039,2484,3250,4594
359,2625,2992,3297,4555
375,2664,2992,3305,4609
367,2664,3047,3305,4391
359,2664,3047,3305,4391
367,2672,3086,4031,4383
367,2711,3234,4031,4320
367,2344,2664,3094,4359
375,2367,2664,3203,4227
375,2367,2664,3203,4078
383,2367,2641,3203,4352
367,2367,2367,2750,4336
352,820,1336,2367,2820
367,820,1336,2492,3148
391,750,1422,2625,3188
438,2539,3094,3852,4898
563,1430,2359,3063,4898
547,2352,3156,3813,4914
539,1516,2445,3164,4492
508,1703,2547,3172,4766
508,1719,2391,2945,4719
523,1492,2336,2391,2836
367,1242,2336,3039,3852
734,2188,3242,3906,4539
703,2141,3203,4313,4742
695,2109,3203,4484,4766
695,2141,2766,3242,4477
258,680,2039,3281,4430
672,2203,2813,3242,4719
438,2258,2617,3336,4602
430,2047,3086,3570,4656
438,1953,2977,4320,4750
430,1961,2883,4273,4641
422,2820,3258,3758,4672
430,1953,2938,3734,4727
430,2047,3148,3719,4672
469,2109,3039,3711,4617
531,2367,3148,3734,4602
516,2383,3172,3891,4648
523,2484,3281,3898,4516
547,2539,3305,4109,4570
563,2484,3258,4109,4492
578,2539,3289,4195,4547
602,2406,3172,4102,4516
609,2523,3148,3938,4523
625,2219,3133,3992,4344
641,2211,2625,3031,3141
758,2031,2789,3195,4305
633,844,1945,3203,4086
656,844,1891,2773,3203
1016,1875,2750,3195,4102
1031,1883,2750,3227,4094
867,1625,2734,3250,4063
883,1625,2734,3266,3922
875,1586,1953,3297,3977
805,1648,2625,3164,3961
266,688,1758,3375,4023
266,688,1898,3336,4047
664,1688,2055,3328,4094
453,1641,2055,3281,4469
398,1656,2055,3258,4688
406,1656,2430,3336,4836
398,1789,2617,3320,4602
406,1727,2648,3250,4602
422,1672,2602,3297,4711
430,1492,2648,3359,4664
438,820,1445,3406,4602
461,742,1500,3367,4602
266,781,1516,3297,4563
789,1523,3352,3719,4734
453,789,1539,3320,3844
789,1461,3305,3844,4719
797,1445,3352,3867,4484
781,1453,3078,3727,4445
766,1305,3164,3953,4406
828,1281,3211,3859,4406
422,1188,3219,3766,4484
367,1281,2828,3766,4641
297,1195,2828,3758,4625
242,1195,2680,3758,4617
242,1266,2633,3820,4531
250,1375,2727,3766,4477
250,1320,2695,3672,4539
250,1484,2758,3461,4695
266,1422,2570,3383,4523
281,1313,2477,3406,4555
273,1266,2633,3414,4516
219,1430,2633,3148,3734
258,1438,2531,3078,3773
352,1461,2531,3219,3930
328,1484,2547,3203,4000
258,1148,2500,3141,4203
195,695,1547,3289,3727
211,695,1391,3188,3867
203,695,1344,3211,3797
203,695,1414,3234,3813
1430,2164,3078,3445,4164
141,914,1430,3797,4234
141,1070,2078,3656,4125
102,883,1984,3859,4125
102,109,883,3945,4227
109,703,2453,3789,4164
703,2383,2984,3266,3875
578,1250,2383,3375,3914
672,1141,1508,2094,2984
672,1703,2344,3031,3617
859,1703,2016,3023,3414
539,898,2141,2977,3414
781,922,2992,3391,3570
438,641,883,2938,3516
0,641,883,2898,3641
453,648,867,2961,3648
0,648,852,2992,3617
0,664,3000,3375,3758
641,852,2977,3359,3570
469,648,852,2984,3766
414,648,875,2969,3289
461,852,2961,3438,3875
414,852,3031,3438,3914
438,852,3008,3969,4938
430,852,3078,3984,4695
422,891,3016,4008,4648
406,1008,3016,3969,4750
398,922,2992,4016,4680
430,1258,3008,4063,4906
484,1266,3086,4078,4703
453,1484,3094,4063,4680
406,1641,3063,3992,4680
469,1648,3094,4039,4656
367,1617,3055,3961,4688
352,1664,3125,4008,4641
391,1758,3164,4047,4602
297,1773,3102,4031,4617
398,1664,3117,3977,4734
484,1641,3164,4031,4664
453,1711,3148,3852,4695
445,836,1711,3117,4000
477,914,1727,3055,3859
609,1703,3078,3789,4883
484,1352,3328,3797,4789
1141,1727,2539,3219,3719
1203,2445,3188,3703,4875
609,1383,2406,3078,3711
516,1070,2414,3250,4914
227,2445,3320,3703,4328
250,2563,3234,4016,4328
281,3055,3305,4086,4672
281,3008,3305,4125,4430
281,1734,3109,3977,4430
266,1672,3086,3328,4328
352,1672,2969,3500,4219
367,1641,2852,3898,4219
359,1758,2914,4016,4242
367,1742,2906,4070,4539
359,1758,2969,3930,4477
359,1727,2922,3914,4516
359,1734,2961,3898,4891
344,1766,3016,3898,4281
273,1688,2992,3711,4758
219,1734,2953,3711,4758
219,1570,2641,3258,3828
313,1758,3125,3844,4594
336,1750,2852,3297,3813
313,1797,2828,3258,3984
313,1453,1820,2945,4070
250,1461,1820,2914,3219
258,1266,1945,2977,4039
