F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
219,695,1500,3039,4563
219,1492,3000,3805,4570
133,898,1500,3688,4633
969,1578,2773,3836,4664
1609,2844,3313,3867,4617
758,1750,2844,3281,4617
844,2016,3195,4047,4750
211,891,2023,3188,3945
211,883,1664,3305,3867
211,953,1656,2945,3875
211,969,1773,2945,3859
859,1641,2328,3195,4047
1094,1586,2328,3352,4313
953,1602,2344,3313,4305
930,1555,2188,2781,3313
875,1633,2406,3422,4680
1563,2859,3594,4367,4758
1672,3125,3781,4281,4930
1609,2227,2977,3805,4797
1594,2242,3063,3734,4469
578,1648,3055,3547,4469
695,1617,2391,3742,4711
758,1555,2289,3555,4516
1031,1602,2336,3695,4422
1031,2648,3242,3859,4586
391,1500,2516,3086,3852
563,1555,2445,3086,3867
680,1555,2344,3484,4383
609,1563,2711,3313,4359
102,609,1555,2172,3453
102,609,1453,2641,4047
102,773,1414,2852,4063
242,758,2125,2914,4258
781,1492,2367,2969,3859
750,1289,1844,3125,3734
758,1289,1844,3164,3648
758,1492,2242,3680,4289
1031,1688,2023,3633,4195
992,1484,2023,2797,4516
906,1500,2945,4242,4938
906,1633,2984,3750,4945
906,1766,3141,3930,4711
953,1672,3141,3789,4422
867,1320,3031,3539,4656
883,1547,3297,3953,4492
984,1367,2867,3578,4453
1367,2203,2953,3703,4438
1477,2203,2703,4094,4711
1031,2234,3016,3875,4672
1023,2195,3016,3680,4914
805,1961,2398,3688,4820
1039,1961,2313,3453,4852
1023,2203,3313,3695,4688
906,2359,3117,3414,4633
898,2195,3523,4117,4648
1031,2000,3000,3461,4656
1164,2102,3000,3500,4031
859,1727,3141,3500,4148
961,1539,1977,3000,3672
852,1484,2359,3000,3797
875,2539,3031,3828,4320
1289,2398,3063,3648,4563
672,1414,1961,2922,3742
570,2047,2797,3789,4242
586,1250,2195,3188,3930
1234,2211,2938,3750,4047
1234,2273,2984,3750,4563
1313,2320,3359,3789,4555
1078,2500,3258,3781,4227
1133,2555,3477,3969,4242
1172,2141,2797,3477,3844
1172,2141,3500,3844,4453
1109,1953,2938,3531,4180
1164,1805,2875,3703,4164
1078,1813,2820,3320,4352
1266,1813,2984,3844,4547
1055,1953,2953,4336,4688
977,1813,2844,3422,4336
945,1844,2969,3570,4227
1227,2516,3281,3797,4117
1461,2492,3641,4063,4391
1352,2492,2992,3555,4289
1172,2492,3234,3781,4180
1188,2492,3250,3766,4297
1188,2016,2633,3313,4219
914,1922,2141,3422,4367
891,1281,1852,2281,4133
875,1352,2383,3539,4367
1289,2258,3039,3648,4180
883,1289,2180,3719,4297
805,1320,2063,3242,4141
594,1438,2008,3000,4516
758,992,1484,3031,4539
1125,1516,2227,2930,4633
1125,1430,2125,2938,4734
1125,1539,1930,3031,4641
1453,1930,2758,3242,4930
1453,2992,3602,4516,4688
1398,2188,2805,3719,4805
945,1563,2672,3453,4641
945,1422,2266,3180,4375
773,2258,3016,3492,4703
328,852,2984,3672,4609
367,1016,2961,4266,4844
977,2492,3594,4328,4883
719,883,2500,3617,4766
617,1398,2438,3578,4648
469,1500,2336,3195,4617
422,1602,2297,3133,4883
367,1906,2375,2898,4844
328,1914,2516,2945,4781
328,1836,2938,3867,4766
305,1672,2945,3703,4773
250,1664,2500,2914,4766
281,1430,1953,2930,4805
258,414,2430,2906,4852
422,1977,2898,3859,4813
414,1820,2141,3039,4859
414,2188,3055,3805,4945
406,1797,2203,3031,4000
367,1875,3016,3984,4898
234,1836,3008,3984,4906
414,1891,3047,3992,4859
359,1852,2859,4180,4758
367,1820,3008,4031,4742
336,1977,3000,4031,4836
305,2141,2977,4070,4594
383,2055,2805,4070,4594
375,836,2266,2992,4625
836,1516,2313,2938,4672
734,1367,1516,2117,2992
727,1367,2102,2773,4492
656,1398,2227,2953,4492
703,1211,2133,2961,4602
773,1180,2102,2844,4688
1195,2117,2930,3914,4844
1023,1438,2117,2836,3969
875,2109,2820,3797,4820
313,875,2063,2922,3867
305,852,2047,2914,3797
328,859,2133,2781,3805
344,2227,2891,3906,4883
352,2289,2688,2930,3922
344,2258,2602,3906,4906
328,2172,2734,3773,4859
305,2211,2734,3734,4781
336,2250,2734,3742,4828
336,2086,2734,3898,4914
336,2281,3500,3922,4945
313,2125,3289,3906,4844
328,2180,3289,3891,4844
336,2133,3852,4305,4938
320,789,2250,2898,4219
445,883,2227,2898,4078
469,1898,2688,4000,4711
492,1805,2219,3961,4703
531,1750,2117,2883,3922
469,1578,1688,2219,3930
484,1633,2273,3094,3938
531,1602,1852,2281,3813
484,1875,2328,2930,3773
516,1891,2328,2953,3750
328,1891,3031,3766,4930
297,1844,2906,3766,4836
297,1758,2891,3852,4813
422,1789,2922,4211,4867
406,1734,3008,4266,4781
438,1695,2086,3000,4922
438,1766,2086,3008,4852
422,1688,2148,3070,4922
414,1688,1969,3016,4781
414,1758,2977,3727,4797
398,1742,2945,3766,4859
398,1609,1867,2867,4617
367,1609,2797,3836,4633
406,1836,2789,3836,4906
406,1789,2781,3750,4742
414,1805,2391,3758,4813
406,1781,2359,3766,4844
414,1820,2328,3766,4914
430,758,2344,3742,4906
430,773,2531,3789,4516
766,1758,2508,3852,4422
766,1719,2539,3797,4461
758,1680,2523,3797,4398
766,1625,2359,3602,4477
766,1563,2430,3547,4367
766,1547,2547,3531,3656
383,781,1563,2266,2523
406,898,1367,2336,4867
422,875,1320,2352,4742
875,1430,2344,2859,4719
891,1555,2344,2922,4719
453,867,1523,2875,4719
445,1547,2281,2836,4727
422,1563,2281,2898,4711
422,1547,2289,2922,4688
1102,1336,2313,2945,4711
906,1102,2375,2938,3484
1078,2383,3016,3469,4773
