F1,F2,F3,F4,F5
500,1672,2711,3609,4445
555,1602,2750,3719,4781
555,1633,2734,3930,4820
594,1617,2453,3914,4805
586,1641,2516,3289,4719
594,1641,2539,3328,4078
758,1648,2758,3320,4078
734,1633,2766,3242,4680
727,1609,2578,3242,4680
586,1602,2508,3086,4766
500,1617,2453,3195,4836
570,1609,2484,3953,4750
477,1547,2578,3289,4320
375,1516,2563,3359,4086
383,1516,2492,3430,4609
531,1492,2508,3445,4367
578,3156,3430,4078,4570
695,1117,3367,4078,4297
766,1633,3555,3992,4563
648,766,1117,3984,4617
648,1086,1602,4000,4492
695,1141,1602,3953,4492
656,1195,1602,3891,4609
680,1195,3305,3984,4391
742,3039,3305,3961,4680
172,742,1344,3344,4570
805,1219,3000,3656,4492
891,1219,1445,3813,4617
859,1445,3313,3969,4555
1336,1680,2844,3336,4008
828,2000,2859,4000,4773
1344,1859,2664,3008,3984
1047,1844,2633,3898,4930
875,1383,1641,3023,3977
555,1180,1641,3250,3977
430,1109,1656,3227,4273
680,1250,1656,2141,3320
664,1672,2141,3305,4344
727,1656,2273,3383,4273
789,2258,2867,3445,4633
656,2633,3492,3906,4852
609,742,2672,3453,3992
570,820,2883,3430,3992
586,2844,3438,4000,4820
578,2836,3445,4023,4797
586,2898,3422,4023,4930
531,844,2977,3445,4008
570,883,2984,3453,4008
547,836,1617,3039,3484
523,875,1617,2961,3484
492,859,1594,2977,3578
430,859,1703,2078,2977
453,891,1617,2031,3016
438,1609,2109,2992,3594
477,1656,2977,3625,3938
492,1156,3016,3727,4000
391,1211,2977,3758,4000
445,1242,2914,3727,4094
531,1219,1578,3039,3898
375,1219,1664,4109,4484
422,1234,1805,3734,4500
422,1016,1688,3773,4625
711,1727,3555,3867,4359
797,1680,3719,4047,4453
0,680,1617,3852,4688
0,680,1578,3875,4453
688,1820,2906,3867,4430
836,1656,2906,3711,4422
641,1680,2852,3859,4422
789,1109,1711,3875,4445
1109,1844,2828,4016,4461
398,1125,1867,3922,4461
844,1922,3836,4516,4742
164,969,1938,3805,4750
945,1859,2367,3781,4938
164,945,1875,2344,3836
164,1031,1766,2234,3945
789,1617,2391,3867,4492
555,1148,1617,3367,4578
508,1664,2367,3359,4516
500,1742,2336,2688,3500
375,1883,2813,3430,4500
398,1742,2734,3578,4117
430,1719,2695,4031,4531
461,1680,2719,4055,4781
438,1648,2773,4078,4813
430,1625,2805,3984,4883
453,1586,2773,3945,4742
422,1594,2781,3953,4750
453,1609,2859,3594,4813
445,1648,2836,3695,4766
453,1641,2813,3867,4828
453,1664,2781,3898,4719
453,1672,2789,4031,4641
484,1719,2805,3992,4750
422,1727,2773,3992,4695
391,1688,2773,3977,4695
383,1836,2734,3836,4742
398,1750,2695,3898,4508
391,1680,2750,3922,4664
352,1273,1766,2719,3945
328,1711,2719,3938,4484
305,578,1516,2531,2766
328,2672,3297,4320,4797
398,2844,3289,4359,4797
383,2422,2789,4109,4797
422,2422,2938,3992,4531
414,2539,3086,4063,4625
414,3047,3977,4703,4844
375,3070,3977,4469,4883
391,1367,2953,3977,4680
414,1531,2898,4016,4891
438,1461,2938,4016,4820
359,1461,2836,4055,4508
414,1094,2828,4164,4945
383,1094,2195,2820,4258
367,1156,2180,2992,4227
352,2094,2578,2992,4180
375,2156,2672,3859,4133
422,992,1977,2836,3734
422,930,1961,3734,4422
1000,1922,3703,4297,4602
688,1445,1922,3133,4008
664,1258,1906,3055,3891
680,1063,1930,3133,4359
727,1320,1914,3320,4391
641,1211,2203,3297,4063
641,938,2141,3156,3875
820,2031,2141,2820,3813
633,1070,2031,2664,3273
648,1070,2172,3289,4234
656,2031,3234,3992,4656
609,1828,3234,3914,4641
617,1820,3234,4070,4664
688,1883,3211,3531,4836
727,1828,3211,3531,4672
398,727,1758,3211,3773
367,1734,3242,3938,4469
398,1750,2813,4195,4617
398,1758,2813,4219,4719
461,1758,2883,4211,4734
406,1742,2797,4109,4711
461,1711,2844,3367,4063
391,1688,2867,3172,4102
406,1648,2813,4039,4688
453,1578,2852,4117,4930
445,1609,2875,4055,4922
438,1578,2938,4102,4578
398,1578,3000,4023,4391
414,1500,2969,4031,4367
445,1617,2945,3977,4766
430,1414,2977,3984,4867
430,1391,2992,3953,4836
477,1344,3000,3945,4836
492,1328,3039,4008,4875
