F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1156,1258,1719,2461,3117
1227,1719,2461,3117,4102
1133,2641,3109,3813,4352
1438,1961,2727,3773,4758
1453,3227,3641,4328,4875
750,1453,2250,3172,4422
648,1477,2672,3023,4461
1500,2063,2656,3039,4469
1227,2008,2727,3453,4141
1430,1930,2484,3430,4141
1398,1984,3125,4234,4555
1352,1953,2977,3523,4539
1391,1922,3523,4141,4352
1977,2633,3117,3523,4156
1906,2383,3203,4016,4883
1930,2477,3148,4063,4820
734,1914,3133,3703,4734
1945,2406,3266,3797,4742
617,1969,3180,3844,4172
844,1875,3109,3641,4172
813,1906,2578,3188,4406
719,1906,2484,3281,4859
969,1852,3141,4195,4820
797,1875,2445,3141,3766
680,1859,2516,3219,4875
1906,2523,3219,3875,4906
836,1938,2461,3234,3734
773,2031,2492,3203,3734
703,1898,2516,3203,3734
664,1938,2383,3078,3875
859,1859,2461,3188,3641
789,1797,2789,3359,4102
836,1945,3117,4133,4469
750,1586,1836,3031,4383
750,1648,2648,3195,4609
773,1922,2500,3375,4750
750,1914,2563,3359,3875
719,1922,2406,3297,4055
1313,2461,3250,3703,4516
852,1484,1898,2344,3164
820,1922,2531,3156,4508
734,1828,2414,3281,4578
758,1898,2414,3094,4656
625,1898,2414,2641,3328
805,1922,2641,3180,4719
773,1875,2523,3258,4469
766,1844,2555,3156,4469
672,1844,2516,3297,4469
906,1859,2367,3289,4039
711,1891,2477,3289,4164
750,1906,2477,3406,4141
1039,1898,2523,3453,4781
766,1875,3438,3891,4531
844,1805,2234,3242,4531
648,1609,2234,3195,4086
672,1867,2359,3281,4289
656,1875,2359,3227,3789
625,1766,2375,3359,4313
648,1875,2578,3297,4023
742,1852,2672,3430,4445
891,1484,2602,3352,3945
680,1992,2578,3273,4367
672,1516,1938,2484,3383
703,1516,1938,2555,3336
859,1531,2164,2516,3258
969,1586,2344,3195,4336
805,1570,2414,3336,4453
859,1656,2055,2414,3305
734,1555,1922,2500,3219
828,1922,2484,3219,4375
750,1594,2484,3422,4633
844,1484,3313,4133,4867
664,1430,2563,3414,4211
688,1430,2352,3336,4891
727,1547,3180,3852,4945
898,1531,2633,4266,4703
1344,2375,3320,3883,4805
1461,1984,2430,3383,4141
1445,2477,3414,4281,4891
1531,2172,3047,3609,4883
656,1625,2742,3031,4117
1117,2016,2742,3031,4078
875,2148,2789,3586,4523
1500,2328,3500,4195,4805
1461,2094,2867,3797,4719
1391,2469,3813,4172,4867
844,1391,2672,3328,4148
852,1188,2258,3344,3984
914,2313,2820,3469,4047
875,1406,2211,3492,3938
883,1539,2781,3477,4641
1406,1992,2805,4109,4773
1461,2633,3492,4086,4523
1438,2672,3375,4023,4523
1313,2656,3156,3977,4563
1430,2023,2648,3992,4563
1500,2563,3164,3758,4570
1297,2023,2688,3164,4555
1313,2703,3406,4023,4555
1273,2461,3172,3523,4711
1289,2813,3211,4055,4719
1352,2625,3313,4055,4617
305,1328,2688,3961,4617
461,1281,2648,3484,4016
406,1281,2594,3453,4539
281,1406,2609,4242,4539
281,1422,2766,4117,4805
273,1555,2727,4141,4797
273,1570,2688,4070,4625
281,1586,2703,4008,4617
305,1945,2727,4016,4711
281,1945,2695,4008,4594
289,1953,2672,4039,4594
266,1977,2695,4031,4656
305,1984,2734,3852,4539
320,1945,2805,3875,4586
352,1922,2750,3969,4609
297,1859,2438,2750,4711
461,1828,2805,3828,4422
461,1852,2492,2719,4250
445,1844,2703,3414,4273
438,2508,2820,3383,4180
766,1977,2578,3352,3977
430,977,1906,3125,4438
398,1922,3039,3953,4547
500,898,2023,3102,3883
898,2000,3047,3883,4664
742,2000,2922,3898,4539
727,2031,3039,3992,4586
641,2023,3078,3961,4594
633,1930,3023,3898,4664
617,2016,3117,3945,4664
328,680,2094,3016,4000
328,680,2094,3078,3945
313,2500,3070,3984,4570
313,2477,2750,3969,4656
313,781,2469,4016,4695
297,781,1391,2445,4086
289,523,781,2656,4063
313,781,1430,2461,4063
313,1406,2469,2945,4086
289,1406,2383,2945,4117
305,1375,2406,2977,4102
344,2383,2992,3938,4930
531,2391,2984,4102,4867
547,2414,3016,4055,4867
555,2438,3016,4133,4930
547,1422,2461,4031,4469
1586,2445,3000,4047,4469
1117,1586,2555,4094,4688
1289,1641,2469,3195,4133
367,1203,2477,4016,4352
438,1320,1859,2586,4133
445,1281,1586,2586,3930
453,1586,2570,3922,4711
453,1602,2539,3914,4703
430,1578,2516,3906,4703
453,1555,2227,2570,3867
453,1484,2258,2930,3859
430,1594,2516,3406,4172
430,1406,2922,3414,4211
484,2156,2461,2781,3531
391,2156,2477,2781,3977
734,1359,2195,2781,3711
703,1430,2055,2906,3875
727,1391,2047,2875,3953
711,1930,3180,4016,4641
656,1984,2852,3203,3969
672,1922,2969,3938,4523
625,1922,2898,3125,3977
500,1898,3016,3977,4625
445,1867,2672,3109,4094
461,1820,3016,4055,4500
469,1820,3227,4008,4555
453,1523,1789,3172,4047
438,1773,3227,3961,4555
414,1688,2781,3250,3961
430,1773,2719,3227,4031
414,1648,2750,3188,4023
398,2023,2672,3203,3969
477,2086,2695,3203,4000
438,2055,2703,3938,4609
438,2063,2688,3984,4594
422,781,2531,3945,4617
422,766,2570,3938,4570
414,773,2336,3125,3938
500,2531,3125,3938,4594
625,2516,3102,3953,4586
633,2188,2531,3930,4617
633,2148,2547,3984,4555
625,2125,2555,3781,3984
664,2016,2539,3781,4563
727,1977,2578,3820,4547
773,2000,2609,3883,4570
797,1945,2641,3820,4469
805,1820,2648,3820,4453
813,1688,2711,4031,4469
813,1664,2742,3797,4531
820,1672,2766,3695,4492
828,1711,2758,3852,4461
