F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
859,1422,2078,3273,3906
1523,2102,3313,3914,4375
820,1523,2875,3789,4859
1359,2094,2594,3539,4555
1305,2156,2766,3563,4656
797,1586,2430,3602,4883
750,1242,1992,2906,3609
750,1320,2641,3516,3844
836,1336,2063,2508,3805
727,1367,2508,2969,3844
695,1406,2297,3141,4313
852,1445,2266,3211,4156
1219,2211,3242,4047,4578
852,1219,2172,3055,3461
789,1297,1852,3633,4367
703,1453,1938,3164,3531
641,1516,2664,3531,4820
1516,2258,2750,3781,4719
445,1703,2039,2953,3734
2242,2688,2953,3656,4797
227,1359,2242,3094,4313
188,1281,2867,3313,4438
125,1336,2109,3328,4563
1352,2266,2727,3711,4477
711,1344,2273,3727,4477
750,1328,2813,3906,4445
1328,2203,2828,3766,4617
852,2266,2992,3539,4469
859,1477,2266,2641,4172
695,1477,2266,3516,4352
664,1477,2461,3734,4813
781,1336,2492,3852,4867
313,1555,2328,4375,4797
375,1102,1555,2633,4289
516,1102,1555,2641,4266
484,1211,2648,4367,4898
469,1156,2617,4125,4805
445,1156,2617,3578,4289
430,1109,2633,3453,4195
617,1047,2391,4078,4414
563,1078,2547,4031,4461
539,1211,2656,4336,4938
516,1266,2617,4273,4805
492,1359,2625,3953,4305
563,1516,2695,3930,4797
578,1617,2109,2750,3898
563,1555,2297,2820,3930
445,1539,2359,2789,2820
422,2336,2789,3867,4719
406,688,2336,2813,4602
391,750,2414,2813,3797
477,2398,2836,4234,4586
531,2016,2852,4266,4547
484,2039,2867,4211,4617
500,2031,2891,4266,4727
531,2078,2859,4281,4781
516,2086,2844,4109,4289
477,2023,2500,2891,4117
586,2250,2898,4367,4695
500,2141,2898,4375,4766
469,2125,2852,4242,4484
289,539,2164,2914,4000
453,2156,2922,3977,4406
391,2195,2945,3977,4422
438,2242,3000,3445,4453
438,2109,2961,3445,4414
266,2078,3273,4219,4672
398,2047,2859,3250,4383
469,1344,2078,3227,4305
422,1258,2039,2867,4359
367,1242,2180,2969,4375
406,1242,2086,2844,4742
789,2273,3109,3289,4758
766,1484,2211,2953,3375
469,1508,2133,2859,4727
703,1508,2328,3383,4531
703,1023,1508,2258,4445
1063,1508,2148,2945,4461
1070,1531,2219,3250,4516
664,1477,2242,2898,4500
617,1422,2305,3023,4500
359,1469,2344,3055,4477
422,1297,2492,3141,4031
414,2547,3211,4055,4477
430,2531,3125,4406,4695
414,1617,2555,3133,4422
328,2508,3102,3250,4367
375,1492,2578,3188,4352
367,1281,2547,3250,4500
344,1281,2586,3250,4406
383,1367,2578,3063,4406
383,1953,2719,3063,4258
375,1273,2516,3180,4414
445,1273,1977,3094,4594
406,1297,2117,2758,4203
383,1211,1594,2063,3203
391,1406,2969,4148,4391
391,1594,2914,3875,4477
539,1352,1758,3328,4398
688,1953,2859,3828,4914
641,1195,1953,3203,4664
688,1125,1977,3219,4703
484,1438,2680,3273,4180
422,1555,3305,4211,4766
398,1938,2500,3109,4219
430,2180,3211,4242,4703
508,2313,3047,4156,4703
531,2273,3000,3375,4500
531,2242,2938,3336,4500
563,2188,2977,4523,4672
617,2141,2906,4367,4789
656,2141,2906,4203,4367
625,2133,2891,4203,4555
625,2109,2992,4133,4555
633,2070,2961,3930,4492
617,2109,3016,3820,4492
641,2039,2969,4156,4461
633,2039,2953,4461,4664
648,2133,2969,3375,4734
703,2078,2977,3375,4586
688,2117,2938,3469,4820
539,2023,2906,3461,4719
430,1906,2828,3438,4672
406,1891,2750,3422,4680
406,1859,2711,3422,4656
406,1891,2727,3406,4563
414,1828,2742,3383,4594
422,1820,2688,3406,4602
477,1953,2648,3422,4602
719,1992,2922,3445,4664
734,2070,2961,3828,4734
719,2125,3000,3711,4531
727,2117,2961,3828,4531
711,2109,2984,3883,4430
734,2109,2664,3023,4508
766,2070,2664,2961,4555
844,2008,2266,2664,2992
859,2008,2242,2617,2977
852,2008,2695,3000,4703
859,2055,2391,2773,4492
859,1930,2391,2781,4492
867,1922,2758,4398,4914
867,1914,2805,4508,4836
883,1875,2789,4359,4805
961,1789,2781,4359,4797
953,1789,2813,4359,4813
891,1688,2836,3102,4438
898,1648,2766,4273,4430
867,1625,2813,3117,4273
859,1656,3117,4250,4672
844,1719,3094,4141,4297
781,1078,1734,3094,4266
750,1727,3102,4188,4602
625,1641,3078,4188,4523
758,1734,3094,4148,4492
625,1648,3125,3602,4313
438,1594,3086,3555,4180
422,1508,2219,3555,4266
414,1508,2195,3055,4297
477,1508,2219,3094,4625
438,1531,2180,3125,4242
484,1586,3055,4156,4438
781,1578,3094,4172,4633
531,836,1594,3148,4195
531,742,1547,3133,4102
586,742,1563,3070,4164
586,930,1500,2945,4195
750,1500,1578,1852,3008
617,898,1578,3008,4164
898,1766,3023,4148,4648
1242,1789,2500,3023,4211
1281,2281,3055,4219,4797
477,1195,2602,3023,4156
1148,2055,3070,4203,4750
398,1758,3219,4117,4742
430,1492,2297,3148,4180
414,1586,2445,3016,4313
398,1500,2289,3070,4070
398,1492,2305,2992,4125
398,1563,2305,3008,4219
359,1477,2813,4219,4625
242,1531,2984,4219,4766
188,1555,2984,4242,4867
344,1484,2156,3234,4742
430,1586,2156,3367,4727
406,1570,2195,3367,4773
383,992,1609,4188,4797
414,828,1633,4156,4758
414,727,1727,4031,4805
664,1695,3445,3945,4789
414,1758,3438,3945,4852
359,1680,3508,4141,4813
430,992,2141,4086,4758
406,781,2133,4109,4789
281,1281,1984,2719,4172
1617,2125,2836,4164,4773
867,1523,2805,3945,4758
695,1641,2484,3359,4828
680,1602,2516,3242,3438
656,1727,2508,3805,4164
734,1617,2547,3258,4180
789,1695,2664,3242,3742
