F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
930,1781,2742,3609,4570
1266,1758,2844,3320,4602
1070,1492,2063,2484,3711
844,1750,2023,3508,4781
1336,2023,2398,3641,4578
1336,1727,2602,3523,4172
1289,1727,2641,3453,4125
1203,1664,2641,3047,3625
1117,2656,3289,3578,3938
859,1289,2461,3578,4852
891,2273,3789,4328,4859
1367,2195,2852,3695,4453
1273,2523,2875,3375,4320
1305,2547,3430,3961,4633
1406,2461,3648,3961,4617
1273,2508,3219,4016,4617
1359,2617,3352,3961,4648
945,1359,2727,3477,4594
1180,2781,3234,4453,4797
945,2266,2828,3656,4625
742,2266,2797,3758,4617
883,2414,3031,3797,4805
688,2852,3680,4406,4852
820,1875,3102,3680,4750
820,852,1875,4156,4938
852,2125,3203,3578,4859
852,2125,3406,3781,4688
906,2234,2883,3750,4555
836,1898,2313,3219,4031
930,1898,2313,2578,2883
1156,1898,2719,4008,4828
758,2039,2844,3969,4695
1133,2063,2781,4023,4453
1125,1719,2328,2719,3703
1117,1539,2211,3164,3891
727,1188,2281,3758,4469
945,1930,2195,3023,4383
797,1172,2195,3070,3547
797,1172,2172,3070,3711
797,1172,2367,3578,4602
797,1344,2227,2523,4516
1219,2070,2523,3586,4516
1234,1992,2586,3484,4617
1297,1992,2781,3484,4672
1273,2055,2492,3125,4063
1258,2422,3047,3328,3797
859,1258,2664,3328,3992
859,1391,2359,2898,4102
852,1445,2266,2898,4000
1211,2023,2555,2898,3984
1195,2039,2688,3477,3984
961,1859,2492,3453,4930
961,1328,1844,2953,4891
1250,1898,2703,4031,4938
1227,2938,3469,4031,4461
1250,2711,3492,4063,4672
1188,2289,2906,4078,4867
1000,1836,2719,3289,4563
1156,1664,2359,3320,4609
1047,1797,2930,3320,3680
1133,1828,2766,3383,3680
1047,2805,3430,3867,4625
1086,1930,2797,3914,4516
1258,1875,2695,3242,4516
1156,2789,3242,3523,4352
1352,2500,3242,3750,4352
1203,2352,3492,3750,4422
1180,2508,3336,3695,4344
1180,1781,2180,2508,3844
977,1242,1781,3234,4406
1102,1898,2844,3469,4336
1305,2266,2844,3375,4336
1477,2219,3023,3672,4234
1180,1672,2422,3617,4367
922,1414,2219,3547,4305
797,922,1273,2500,3453
797,1305,2500,3227,4422
852,1430,2602,3555,4422
969,1430,2664,3570,4789
445,1180,2648,3500,4727
445,1305,2586,3406,4852
1156,2906,3406,4297,4883
633,1508,2422,2813,4555
703,1398,3109,4188,4766
820,1305,2773,3852,4836
1188,2750,3695,4242,4570
1414,2945,3625,4242,4570
828,1375,2555,3789,4844
859,1570,2602,3586,4773
836,1508,2664,2906,4719
836,2445,3148,3727,4414
852,1547,2828,4125,4406
695,1656,2836,3422,4406
406,922,1656,2898,4375
391,1578,2781,3625,4758
391,2242,2766,4188,4914
945,2242,2781,3945,4695
844,2273,2828,3406,4469
328,930,2430,3203,3727
328,1227,2813,3531,4789
422,1063,3008,4039,4828
914,1313,2266,3055,4039
461,914,2234,3031,3727
461,938,2328,3148,3859
477,1141,2242,3031,3859
703,1070,2281,2945,3859
727,1375,2258,2750,4586
1281,2273,2648,3789,4664
1211,2250,2789,3586,4648
1211,2141,2586,3469,4734
1250,2586,3523,4258,4883
1266,2156,2766,3719,4133
1219,2211,2539,3031,4133
1406,2117,2539,3031,4227
1297,2117,2609,3336,4125
1188,2508,3172,3547,4195
1219,1773,2250,3344,4188
1289,1750,2695,3391,3813
1234,1750,2742,3617,4578
234,992,2297,3758,4555
359,1086,1703,2539,4016
227,359,820,2406,3914
227,1164,2539,3680,4383
789,1328,2391,3672,4383
1180,2117,3328,3672,4320
1086,2141,3516,3930,4836
609,2078,3281,3930,4836
578,1281,2414,3266,3969
406,1281,2414,3305,3922
617,1352,2453,3781,4844
1117,2234,2570,3773,4617
1070,2234,2648,3867,4617
938,1227,2734,4078,4641
938,1227,3141,4039,4734
938,1227,3273,3820,4938
938,1227,1656,3352,4109
477,938,1258,3055,4164
477,1281,1805,3086,4164
461,1258,2969,3344,4242
773,1250,2961,3344,3906
906,2578,3539,4000,4695
367,922,2750,3875,4664
422,1219,1789,2695,3844
844,1625,3008,4125,4813
539,1219,2094,3031,4188
1172,2789,3055,3875,4719
805,1453,2086,2742,4328
1148,2031,2523,3641,4516
961,2031,2805,3656,4281
1367,2156,3047,3734,4438
1148,2109,2820,3477,4609
961,2023,2766,3750,4680
984,2094,2750,3766,4547
938,2125,2750,3594,4492
1102,1594,2125,2656,3781
1063,1617,2125,2680,3797
828,1250,1602,2570,3758
586,734,1297,1602,2680
867,1266,1602,2617,4234
813,1227,2328,2734,4406
1281,2531,3203,3984,4484
555,1328,2219,3117,4430
250,1281,3258,3852,4789
383,1883,3375,3852,4883
477,2031,2352,3453,4477
469,1859,2594,3258,4563
672,1992,2695,4078,4547
617,2242,2578,3469,4859
711,2078,2758,3922,4719
742,2336,2617,3984,4719
805,2422,2883,3930,4688
711,1844,2641,3344,4039
680,1781,3266,4023,4711
594,1844,2742,3055,4453
680,2070,2773,4398,4703
797,1367,2633,4047,4836
758,1250,2250,2695,3875
758,1313,2063,2883,3898
242,1453,2578,3117,4938
398,2359,3297,4305,4813
461,1344,2523,4000,4477
469,1414,2555,3539,4063
453,1445,2508,2938,4227
453,1523,2742,3609,4227
508,1734,2711,4172,4516
469,1891,2742,4031,4438
445,1055,1898,2727,4352
430,1055,1859,2703,4359
438,1898,2922,4117,4477
438,2953,3414,4047,4633
438,2406,3383,3984,4656
453,2820,3336,3977,4359
430,2469,2922,3336,4211
352,2367,3414,3781,4813
383,2172,2906,3688,4742
305,2008,2906,4000,4750
359,1938,3266,4180,4797
398,1977,3250,4094,4523
