F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
836,1563,2922,3852,4438
688,1578,2945,3844,4453
688,1453,2883,3891,4461
1484,1961,2852,4328,4883
1094,1648,2648,4328,4945
1094,1133,1914,2992,4313
1133,1617,3164,3570,4352
1234,1742,2953,3703,4383
930,1961,2672,2953,3914
930,1734,2438,2969,3805
766,930,1734,2789,3367
766,1867,2109,2734,4016
578,1648,2695,3555,4023
273,1648,2133,2688,3953
445,1648,2031,3148,4094
453,1539,2359,3313,4063
1609,2266,2797,3305,4023
1070,2383,2672,3305,4852
641,1219,2672,3633,4672
578,1680,2773,3516,4695
531,1313,2750,3891,4813
984,1719,2859,3844,4813
727,1859,3281,4180,4898
922,1555,1758,2711,4656
1531,1820,3273,4344,4656
1063,1766,2922,3344,4766
1063,1992,2922,4172,4633
313,1164,1984,2828,4078
1047,1836,2500,4047,4625
375,1234,1977,2539,3438
1125,2359,3484,4008,4797
1258,2250,3445,3992,4648
1117,1742,2492,3133,3945
969,1359,1742,2773,3852
969,1742,2711,3102,4234
984,1891,2820,3695,4313
1195,1844,2570,2930,4703
781,1867,2711,3617,4664
719,1500,1859,2711,3617
469,1281,2180,3195,3672
469,1367,2023,4320,4945
1180,1602,2977,4281,4844
992,1805,2672,3195,4195
555,1344,2172,2984,3656
719,2039,2828,3703,4898
648,719,1320,3063,4867
648,2250,3234,3672,4828
648,1281,2250,3625,4836
633,648,1633,2328,3680
633,1148,1672,2641,3445
461,1672,2766,3977,4563
633,1750,2578,4164,4461
586,1508,2305,3461,4461
453,1422,2391,3555,4523
234,1445,1938,2922,4258
180,1609,1938,3320,4391
242,1523,2102,3156,4414
367,1664,3156,3797,4523
734,1891,3203,3766,4406
594,1492,2117,3008,3766
1344,1727,2180,3063,4258
391,1336,2328,3313,4203
422,2000,2656,4289,4734
516,2188,2914,3469,4648
648,1875,2797,3664,4664
547,1805,2172,3500,4672
344,602,1805,2172,2680
602,1781,2680,3664,4453
797,1406,2000,2734,4781
672,1461,2727,3570,4297
641,1531,2727,3734,4852
492,1563,2734,3898,4758
469,1813,2734,3016,4766
469,1719,2750,3000,4852
500,1789,3000,4172,4930
539,1695,1938,2680,3961
430,1750,2648,3961,4656
555,1969,2953,4086,4703
508,2195,3016,4063,4664
563,1406,2211,3023,4188
500,1438,2211,2938,4258
516,1438,2258,3039,4031
453,2180,3063,4031,4266
461,2047,2391,3023,4203
492,2055,2391,3086,4203
492,1531,2453,3211,4320
469,1352,2359,2664,4234
469,1289,2664,4125,4859
938,2055,3133,3906,4617
898,2063,3219,3875,4594
586,898,977,1641,3672
977,2148,3070,3617,4820
609,1414,2031,2984,3742
602,1000,2203,3000,3742
602,922,2078,2969,3742
0,844,2117,3016,3953
609,875,2148,3023,4164
609,898,2211,3063,4234
422,875,2164,3047,4234
422,875,2328,3016,4211
359,875,2352,3117,4141
523,2438,2633,3148,4125
344,2523,3133,3984,4289
375,1438,1578,2430,3070
336,1375,2547,3086,4305
289,477,1375,1750,2641
516,1305,2625,3641,4305
531,1820,2625,3344,3570
500,2578,3141,3656,4148
516,2563,3141,3656,4273
492,1391,2523,3133,4320
414,1391,2516,3125,4313
438,1344,2359,3125,4484
328,1656,2469,3102,4398
484,1617,2375,2688,3102
492,1563,2688,3820,4383
477,2109,2805,4063,4445
461,2039,2633,4070,4680
516,2078,2633,3984,4664
484,2070,2688,4047,4664
469,2086,2648,3977,4695
781,2289,2648,4016,4320
773,1820,2406,2625,4023
844,1820,2367,2813,4125
633,1867,2367,2797,4039
805,1914,2883,4070,4313
836,2039,2953,3250,4266
695,820,2031,2797,4266
625,1945,2781,3250,4406
461,1945,3234,4117,4617
461,1414,2008,3211,4281
461,1359,1906,3250,4305
445,1820,3078,3234,4188
438,1359,1906,3164,4313
406,1359,1859,3133,4305
438,1313,1852,3141,4086
438,1313,1875,3117,4086
461,1344,2195,3516,4250
523,2242,3008,3602,4336
523,2305,2859,3117,4516
492,2367,3148,3719,4344
578,2336,2992,4000,4422
625,2344,3023,3938,4648
633,2344,2953,4086,4563
563,2359,2922,3938,4875
547,2367,2922,3984,4711
656,2375,2813,3953,4641
656,2367,2844,3961,4875
703,2195,2852,3938,4875
813,2250,2766,4000,4930
875,2039,2766,3938,4945
906,1977,2516,3875,4945
906,1922,2711,3953,4945
891,1906,2719,3938,4305
938,1898,2711,4039,4305
930,1859,2781,3953,4484
492,969,1727,3945,4578
406,906,1742,3953,4438
500,906,1813,2445,4648
281,500,953,1500,2445
336,1477,1852,2453,2875
469,1727,2414,2969,4594
484,1711,2344,3031,4594
477,1547,2453,3031,4813
477,1766,2492,3211,3617
500,1633,2875,3320,4758
563,1633,2352,3648,4695
930,1406,2352,3633,4781
906,1406,2977,3648,4945
563,797,1422,3563,4438
938,1523,3148,3563,4711
539,1492,2477,3578,4672
484,1227,2461,3539,4531
406,1328,2836,3781,4609
445,1266,2414,2836,4680
484,1336,2453,2875,4719
461,1391,2773,3719,4758
453,1453,2516,2750,4750
445,1430,2570,3547,4906
438,1758,2352,3336,4758
414,2234,2742,3250,4320
438,1695,2711,3609,4305
398,1695,2953,3844,4305
406,1609,3000,3625,4477
375,1172,1656,2016,3711
625,1008,1695,2047,3750
453,1711,2977,3680,4516
492,953,2961,3703,4664
430,922,1555,3641,4563
961,1859,2852,3734,4492
1031,1820,2844,3820,4609
992,1711,2844,3789,4477
1133,1711,2898,3664,4711
539,1109,2781,3711,4609
539,1109,2852,3742,4656
477,1000,1977,2727,3734
781,1313,2070,2641,3758
883,1297,2070,2633,3750
750,1391,2219,3656,4734
836,1383,2125,3664,4492
1031,1883,2672,3656,4258
711,1172,1844,2664,3656
