F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
859,2734,3391,4188,4859
789,2672,3508,4203,4680
844,2594,3445,4195,4813
1289,1898,2742,3211,4195
1156,1836,3117,3727,4156
1836,2484,3117,3516,4664
1742,2508,3117,3484,4719
1563,2508,3117,3633,4719
1445,1727,3250,3789,4891
1688,2453,3203,3555,4688
734,1750,2688,3555,4648
734,1734,3164,3867,4758
789,1703,3070,3766,4844
852,1664,3750,4398,4813
789,1688,3758,4352,4813
789,1563,3367,4227,4547
1328,1703,3305,3898,4367
836,1680,2938,3438,4070
828,1750,3000,3711,4539
828,1680,3328,4219,4672
594,1734,2992,4031,4320
305,594,1672,3133,4602
305,1703,2656,3461,4523
445,1703,2883,3445,4641
1711,2609,3375,4086,4891
320,1742,3172,3680,4180
352,1648,2922,3633,4734
531,1625,2969,3523,4586
648,1695,3156,3516,4828
789,1664,3109,3516,4523
828,1672,2906,3266,4344
1625,2906,3625,4273,4789
734,1711,2953,3625,4539
328,914,1586,3531,4484
281,711,1648,3914,4375
281,1563,3242,3688,4445
258,883,1688,2891,3773
281,1680,2883,3375,4313
367,1664,3242,4063,4828
281,1680,3039,3531,4805
281,1680,2883,3508,4398
383,1695,2906,3391,4313
328,1648,2875,3406,4297
328,500,1727,3414,4813
500,1680,3383,4313,4688
258,1688,3508,4313,4688
648,1781,3492,4367,4914
180,828,1703,3398,4617
180,805,1688,3320,4461
266,1711,3195,4203,4500
266,1656,2461,3320,4219
266,1719,2445,3297,4375
805,1703,2414,3539,4727
750,1727,2453,3320,4797
875,1578,2586,3656,4875
680,1617,2789,3203,4117
641,1594,2977,3836,4148
1164,1445,2344,3289,4656
1281,1664,2289,3375,4586
1664,2383,3555,4273,4922
1703,2430,3492,4094,4766
1703,2492,3492,3977,4844
1430,1703,2570,3383,3805
1602,2227,2914,3789,4305
1578,2250,2844,3875,4445
1695,2250,3109,3719,4664
656,1602,2953,3820,4773
625,1625,2781,3617,4688
625,1609,3031,3875,4539
758,1625,2266,3117,3836
898,2320,2938,3906,4914
867,2570,2938,4133,4922
820,2586,3148,4070,4922
750,1719,2430,3820,4852
836,1477,2516,4016,4891
789,1578,2375,4047,4852
766,1594,2570,4055,4195
766,1586,2578,3828,4930
734,1633,2664,3836,4766
695,1844,2211,3430,3852
688,1672,2242,2852,3305
688,2008,2336,2844,3820
680,2039,2852,3844,4727
578,2039,2898,3898,4688
680,2094,2844,3875,4641
641,1984,2570,3875,4539
563,2039,2523,3742,3875
664,1953,2523,3742,4719
656,1992,3133,3773,4563
1602,2320,3086,3852,4656
1539,2234,2969,3953,4641
953,1500,2172,2906,4758
914,1422,2156,2906,4727
1055,1305,2273,2930,3820
1508,2242,2930,3852,4570
1602,2289,2992,3969,4750
508,2211,2977,3898,4711
508,2227,2984,3852,4641
531,2117,2961,3922,4594
727,2172,3031,3805,4602
633,2305,3055,3977,4508
609,2281,2969,3945,4508
492,2352,3039,3898,4734
484,1672,2367,2867,3898
477,1648,2414,2891,3883
656,1648,2398,2922,3844
445,750,2477,3109,3852
625,992,1688,2438,3031
547,992,1648,2477,3820
484,1102,2516,3859,4719
430,2516,2969,3969,4555
453,1313,2383,2977,3898
477,1344,2336,3766,4914
492,1344,2484,3047,4766
508,2477,3047,3820,4633
477,2367,2953,3891,4781
438,2469,3008,3805,4797
484,2133,2492,3742,4633
594,2070,2406,2828,3789
656,2000,2414,3758,4773
766,1992,2414,3688,4578
734,2016,3859,4352,4781
742,1586,1977,2555,3719
703,2000,2563,3797,4758
797,1695,2000,2531,3797
703,1906,2469,2727,3828
641,1883,2617,3484,3750
680,1781,2617,3484,3906
680,1758,2648,3375,3852
625,1766,2781,3555,3852
664,1773,2641,3727,4203
508,1727,2555,2852,3789
547,1703,2555,3672,3992
633,1703,2570,3016,3742
656,1805,2508,2734,3805
641,1992,2773,3820,4359
672,1867,2820,3688,4375
727,2031,2758,3898,4602
688,1867,2695,3055,3867
742,1820,2516,3984,4727
781,1797,2555,3883,4867
813,1648,2617,3711,4859
883,1680,2578,3734,4813
883,1656,2563,2906,3766
984,1609,2578,3516,4883
1023,1547,2617,2945,3664
1000,1555,2711,3891,4742
805,1555,2820,3805,4703
633,1516,2742,3391,4813
1063,1500,2750,3422,4719
1031,1523,2719,3602,4820
1516,2766,3383,4391,4750
859,1531,2930,3641,4766
1516,2883,3688,4414,4781
727,1492,2117,2766,3695
727,1398,2117,2766,3703
797,1461,2797,3641,4703
617,1484,2258,3625,4617
781,1422,2602,3773,4875
641,1398,2188,2438,3680
750,1414,2508,3664,4516
750,1438,2516,4508,4781
742,1359,2453,3258,4617
789,1359,2102,3227,4750
609,1367,2117,3203,4703
914,1336,2047,3203,4727
914,1383,2625,3133,4609
1000,1328,2586,4195,4789
914,2242,3391,4172,4742
852,1344,2313,3039,4461
430,695,1297,3164,4609
320,695,1430,3281,4469
305,695,1336,3344,3898
258,750,1547,3422,3898
266,1023,1555,3313,3938
852,1477,3297,3875,4727
844,1570,2828,3148,3375
1453,2711,3117,3773,4836
1430,2453,2945,3625,4742
523,1508,3078,3398,4055
453,1500,2516,3336,4055
375,1578,2516,2977,3383
461,1438,2656,3383,4391
367,1406,2461,3516,4219
453,1000,1469,3227,4094
570,938,3141,4063,4844
688,2484,3070,4133,4789
695,2617,3055,3953,4891
766,2594,3086,3945,4500
742,2594,3063,3766,4633
859,2609,3117,4570,4844
734,2617,3164,3852,4516
758,2633,3203,4570,4813
875,2625,3273,4578,4820
883,2703,3266,4578,4906
742,2758,3313,4586,4930
891,2789,3266,4617,4945
906,2797,3305,4617,4930
945,2820,3320,4555,4930
617,1000,2734,3336,4594
617,1016,2734,3344,4586
