F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1023,1125,1703,2859,3133
1125,1703,2859,3906,4781
1125,1609,2195,3109,3828
1297,2180,3258,4148,4891
1219,1945,3375,4203,4883
383,1352,2070,2516,3930
633,1352,2094,2555,3914
1141,1930,2289,2555,3680
1305,2602,3445,4047,4586
1336,2273,3227,3953,4477
1375,2125,3328,3867,4477
1508,2602,3359,4203,4930
2172,2477,3180,4055,4664
1531,2805,3625,4250,4773
1422,2953,3508,4211,4750
1484,2766,3563,4195,4695
1500,2578,2898,3555,4500
1320,2094,2578,3078,4500
1227,1320,2703,3289,4430
1227,2219,2609,3289,4250
1367,2234,2797,3477,4516
938,2352,3250,3695,4367
875,1336,2922,3750,4469
1500,2234,3352,3906,4789
719,1461,2953,3906,4844
750,1438,2914,3531,3992
461,789,1430,3211,3922
672,1438,2844,3367,3922
375,1313,2094,2805,4016
477,1484,2094,2969,4594
477,898,1406,2102,4648
898,1531,2344,2680,4219
672,1883,2859,4242,4813
1531,2203,2867,3547,4602
1453,2016,2352,3469,4563
1492,2063,2648,3695,4023
1453,2594,3859,4266,4688
781,1492,2734,3852,4266
781,1438,2648,3977,4586
656,2125,2656,3914,4820
531,1539,2094,3008,3969
672,1438,2109,3211,4836
695,1383,2734,3398,3984
492,1484,2719,3289,4617
1430,2141,2734,3242,3750
688,1500,2078,2695,3773
703,1359,2078,2773,3742
727,1352,2102,3391,3828
453,1375,2023,2781,3734
508,1477,2773,3516,4789
500,1547,2742,3500,4680
547,1602,2719,3414,4414
594,1688,2227,2875,4281
422,1719,2180,2828,4281
406,1719,2148,2813,4227
422,1609,2148,2797,4250
406,688,1789,2852,3336
547,2055,2805,3352,4359
555,1992,2781,3492,4289
547,1969,2805,3492,3883
555,1984,2797,3492,3945
531,2055,2805,3492,3953
477,2078,2703,4117,4852
516,1961,2797,4156,4883
563,2008,2828,3141,3898
555,2031,2836,3141,3930
516,1945,2680,3266,3875
500,1953,2625,3695,4219
531,1977,2680,3914,4352
656,1477,2070,2711,4016
609,1539,2125,2688,3906
555,1539,2078,2648,3883
641,1492,2125,3266,4109
602,1500,2094,2734,3297
547,1477,2094,2609,3352
1469,2156,2625,3242,4156
656,1391,2125,3227,4133
609,1492,2070,3180,4109
617,1484,2102,3172,4148
734,1367,2156,3211,4047
352,2172,3219,4000,4820
344,1586,2250,3281,4023
320,2305,3266,3922,4852
320,2289,2773,3867,4906
297,2273,2727,3992,4859
313,2273,2680,4031,4844
289,2469,2688,4031,4828
273,500,2477,3961,4844
305,1508,2516,3914,4828
344,1539,2578,3914,4781
313,1539,2500,3047,3914
297,2273,3023,4031,4891
297,2398,3141,4008,4633
688,1547,2203,4227,4859
609,1586,2711,3336,3797
594,1609,2664,3359,4898
414,1563,2133,2727,4727
469,1563,2133,2703,4703
492,1500,2180,2656,4750
477,2164,2727,3883,4867
508,2328,3289,4039,4523
648,1430,2438,3367,3969
594,1430,2109,2609,3891
602,1469,2602,3984,4523
648,2086,2703,3961,4477
656,1531,2641,3742,4422
680,2094,2688,3289,4563
680,2063,2773,3352,4320
695,2070,2719,3289,4313
602,2031,2773,3273,4641
531,2086,3227,4227,4609
430,1992,3219,4000,4680
414,1961,3195,4289,4664
406,2000,3148,4203,4664
477,2070,3203,4258,4711
516,2055,3281,4273,4742
477,2008,2766,3266,4688
477,1977,2766,3273,4711
453,1992,2750,3227,4625
453,2031,3195,4242,4625
422,1914,2766,4227,4563
414,1992,2758,4156,4539
586,2172,2656,3242,4172
625,2133,2656,3305,4086
711,2227,2727,3336,4164
703,2219,2727,3352,4195
734,2203,3336,4211,4859
742,2195,2734,3320,4234
742,2180,3320,4164,4852
758,2188,2695,3305,4094
766,2164,3250,4102,4891
773,2141,3320,4086,4836
773,2141,3234,4023,4828
797,2102,2750,3367,4000
789,1758,2820,4023,4742
781,1664,2773,4094,4797
797,1633,2781,4023,4789
805,1617,2820,4047,4813
797,1625,2758,4031,4703
805,1609,2750,3969,4570
781,1516,2758,3977,4523
773,1492,2773,4000,4523
703,1516,2781,3922,4883
680,1539,2773,3938,4828
664,1555,2781,3930,4734
648,1555,2797,3531,3891
625,1555,2789,3359,4813
602,1563,2031,2789,4914
523,1648,2867,3938,4938
484,1625,2188,2805,4922
617,1609,2109,2750,3836
531,1617,3000,4172,4938
555,1594,2945,4219,4930
555,1523,2273,2906,4828
617,1516,2148,3031,3844
578,1492,3039,4086,4891
625,1469,2141,2813,3852
609,1453,3016,3758,4328
570,1453,3016,3891,4898
664,1461,2789,4031,4648
672,2820,3977,4328,4648
602,2797,3977,4328,4867
500,2758,3680,4031,4328
422,695,2805,3680,4359
648,2750,3492,3789,4445
664,1500,2789,3648,4383
594,1555,2688,3680,4906
586,2211,2656,4406,4781
461,2188,2883,3586,4898
703,1555,2531,3328,3867
563,1578,2594,3211,3914
555,1523,2180,3375,4828
648,1523,1984,3430,3945
648,1531,2094,3906,4797
625,1563,2156,2656,3703
633,1477,2695,3672,4641
695,1508,2688,3617,4594
664,1375,2594,3633,4570
648,1398,2516,3703,4570
492,1398,1438,2578,4570
719,1438,2633,3570,4477
633,1406,2688,3695,4289
523,1484,2039,2672,3320
547,1531,2055,3305,3945
531,1391,2117,2625,3859
563,1391,2078,2656,3656
625,1477,2016,3453,3938
617,2008,2727,3422,4680
656,781,3445,4063,4711
633,820,2633,3313,3914
625,2852,3320,3758,4609
430,625,2641,3297,3758
445,617,2641,3430,3758
531,2609,3461,3961,4586
477,2625,3414,4055,4680
430,3352,3633,4180,4695
422,1406,3422,4227,4672
406,1445,3352,3742,4227
398,1484,3156,3570,4641
375,1516,3453,3773,4672
383,1523,3328,4008,4617
