F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
789,1047,1977,2664,4469
1047,1977,2906,4047,4539
984,1969,2969,4203,4859
1477,1883,3352,3883,4922
625,1438,2219,2867,3656
586,1750,2297,3414,4313
555,1750,2820,3695,4648
875,1656,2758,3766,4414
891,1547,2805,3750,4828
891,1547,2656,4023,4922
883,1547,2633,3555,4148
883,883,2594,3641,4148
883,2586,3836,4109,4938
891,2375,3563,4109,4836
852,1883,3414,3820,4219
875,1320,1977,2984,3758
914,2117,2875,3484,4141
1555,2352,2875,3438,3961
1039,1484,2648,3523,4352
953,2523,3453,4133,4758
1242,1984,2391,3297,4133
711,1250,2070,2961,4820
930,2289,2961,3906,4555
906,2078,3086,3742,4484
859,1539,2430,3000,3883
789,2430,2906,3367,4117
781,1414,2469,2969,3898
906,1266,2000,3164,3531
125,797,1266,2016,3547
125,922,1359,2141,3578
914,1359,2313,3523,3711
688,1578,2313,3023,4398
844,1633,2070,2977,4398
844,2164,2945,3703,4398
734,1383,2094,2844,3992
734,1625,3242,3688,4188
766,2375,3305,3633,4250
711,1484,3422,4172,4875
758,1445,2336,2719,3273
945,2688,3133,4039,4727
727,1188,2867,3906,4555
898,1188,2695,3883,4555
875,1188,1977,2672,4328
1203,1969,2781,3164,4227
867,1930,3203,4102,4664
617,1164,3125,3727,4750
1125,1945,3117,3500,4813
859,1734,3094,3500,4508
742,2148,2883,3844,4906
805,2367,3477,3734,4586
453,852,2320,3477,3750
453,2484,3234,3836,4508
406,2258,2523,3234,4188
250,961,2086,3781,4375
1484,2148,3289,3688,4336
930,1477,2156,3805,4656
805,1516,2156,2242,4586
867,1531,2242,3047,4484
883,1781,2195,3055,4484
805,1852,2984,3797,4500
516,797,3016,3938,4477
516,1930,3289,3727,4570
609,1930,3414,3703,4516
344,1867,2133,3859,4703
398,695,2063,3844,4648
398,695,1961,3672,4828
813,1906,3008,3781,4758
1977,2195,3055,3750,4734
750,1953,3094,3688,4742
820,1914,2922,3758,4633
1922,2203,3117,3633,4594
539,1836,3086,3797,4719
1664,2320,3172,3742,4641
531,1688,3234,3836,4648
508,1789,2969,3820,4719
555,1742,2984,3672,4789
750,1781,2977,3305,4531
594,1758,2906,3305,4641
477,1789,2891,3547,4602
781,2234,2969,3422,4516
656,1852,2219,3492,4641
383,1742,2766,3555,4508
438,1727,2391,2875,3594
563,1750,2953,3523,4180
852,2836,3484,4039,4805
383,906,2617,4039,4828
1031,1711,2414,3070,3836
789,1594,2172,2672,3586
789,1586,2172,2789,3563
773,1586,2500,3438,4445
555,883,1578,2539,3516
1539,2344,2992,3609,4406
1484,2289,3164,3602,4648
1469,2164,2680,3391,4609
758,1563,2844,3742,4375
1531,1906,3289,3906,4258
781,1555,2133,3008,3328
1414,1828,3172,3961,4828
1656,2070,3031,3867,4609
1359,2250,3031,3609,4531
1398,2242,3070,4031,4563
1508,2414,3094,3781,4563
1484,1930,3203,3586,4641
922,1531,2250,3398,3859
859,1359,1711,3352,4438
922,1547,2883,3242,4203
828,2930,4000,4625,4945
1234,2820,3266,3891,4641
805,1320,3234,3914,4836
797,1422,2828,3289,4852
820,1492,2500,3188,4758
781,1586,2266,3117,3992
805,1641,2266,3133,3992
813,1633,3086,4180,4711
797,1641,2602,3016,4609
789,1656,2555,3063,4828
445,773,1711,2945,4820
734,1695,2438,2906,3492
563,1805,2938,3656,4930
727,1828,2969,3688,4906
773,1875,2984,3836,4930
750,1883,2961,3898,4523
766,1844,2867,3766,4367
766,1844,2836,3797,4602
773,1914,2648,3781,4656
867,1922,2656,3617,4133
930,1852,2836,3633,4672
867,1906,2813,3633,4086
867,1898,2867,3680,4461
766,2148,3086,4383,4703
703,1422,2063,3703,4500
703,1367,2109,3742,4727
758,2227,3016,3805,4570
883,2016,2992,3680,4555
617,2078,3023,3680,4625
680,2102,2969,3875,4727
750,2078,2992,3797,4703
727,2125,3016,3836,4750
820,2195,2992,3781,4703
758,2219,3039,3789,4766
648,2234,3023,3820,4719
820,2266,3047,3719,4758
523,852,2250,3055,4766
867,2203,2977,3758,4805
813,2359,2984,3742,4758
469,2375,3008,3766,4633
500,2367,2945,3992,4875
484,2398,3109,3672,4539
484,2422,3070,3766,4555
820,2281,3227,3984,4680
906,2453,3359,3969,4469
734,1492,2438,3758,4406
813,1492,2344,2938,3750
773,1563,2328,2844,3789
711,2305,2938,3719,4688
758,2281,2898,3758,4578
758,2250,2992,3773,4578
750,2227,3055,3695,4570
789,2141,3031,3266,4484
758,2188,2961,3414,3922
773,2289,3008,3352,4008
773,2258,3047,3969,4766
820,1969,2898,3969,4695
813,1883,2219,2898,4047
781,1875,2930,4039,4750
773,1781,2352,3000,4000
789,1844,2375,2898,4023
766,1805,2852,3594,4070
766,1844,2781,3586,4000
461,1836,2820,3703,4430
461,1813,2914,3844,4570
445,1797,2930,3617,4531
523,1898,2953,3719,4563
781,1984,2984,3766,4500
789,2164,2930,3734,4492
773,2156,2977,3734,4523
773,2047,2969,3773,4758
773,2203,3055,3781,4477
766,2164,3039,3742,4508
711,2031,2945,4102,4594
766,2070,3070,3867,4781
789,2102,3031,4305,4727
789,2000,2914,4094,4555
727,1906,2906,3359,4523
820,1977,2977,3359,4703
781,1969,3000,3359,4391
828,1766,3016,4023,4656
828,1742,3031,3797,4656
797,1789,2977,4063,4656
844,1758,2969,3664,4063
867,1703,2844,4031,4438
859,1609,3422,3938,4438
828,1617,3125,3766,4555
867,1664,3094,4070,4602
813,1633,3102,3797,4133
828,1672,2320,3047,3734
820,1664,2344,3172,3695
1070,1570,2344,3055,3578
891,1648,2281,3039,3633
859,1656,2438,3359,3797
805,1680,2352,3219,3719
