F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
3961,4148,4336,4516,4703
2133,2906,3391,4266,4945
1563,1938,2906,3367,4195
1563,1977,2813,3367,4789
1719,2398,3414,4133,4859
1617,2445,3414,3680,4078
1688,2563,3680,4078,4727
1750,2438,3227,4141,4586
1711,2891,3227,3867,4633
789,1727,2969,3445,4719
586,1477,1930,2844,3445
1742,2500,3000,3742,4750
711,1805,2258,3180,4695
633,1734,2969,3539,4719
633,1648,2914,3719,4508
695,1734,2852,3602,4383
625,1734,2781,3602,4352
656,1781,2906,4305,4859
820,1750,2797,3734,4484
766,1758,2891,3664,4836
633,1789,2570,2961,3984
609,1773,2844,3445,3977
1875,2930,3563,4180,4734
656,1836,3008,3563,4164
766,1820,2938,3633,4805
609,1820,2922,3516,4664
453,1766,2797,3500,4664
453,1852,2906,3656,4773
633,1742,2766,3781,4367
711,1789,2602,3695,4859
711,1742,2695,3758,4617
883,1742,2969,3563,4906
883,1742,2773,3633,4258
1320,1742,2539,3438,4398
1086,1836,2734,3438,3938
1180,1758,2781,3242,3938
1164,1688,2383,2820,4156
1164,1859,2594,3180,4242
1023,1789,2969,4055,4609
1492,2102,2781,4102,4852
1695,2828,3227,4063,4563
969,1688,3117,4141,4883
883,1703,2453,2961,4320
1156,1672,2898,3313,4313
1641,2328,2828,3242,3891
1492,2195,2836,3766,4344
609,1508,2789,3320,4469
633,1648,2859,3695,4586
789,1641,2422,3383,4773
883,1719,2445,3156,4141
891,2055,2602,3156,4336
867,1852,2461,3188,4125
703,1836,2445,3180,4203
586,1742,1984,3031,4211
805,1984,2383,3297,3820
875,2281,3000,3422,3992
2188,2844,3563,4164,4852
898,1469,2344,3195,4313
945,1430,2859,3664,4719
875,1430,2453,3359,4781
883,1406,2875,3586,4680
672,1844,2297,3078,4680
813,1438,2445,3164,4578
773,1523,1781,3398,4648
875,1891,2477,3344,4656
906,1359,2398,3039,3977
891,1781,3172,3773,4547
1148,1938,2398,3750,4625
602,1570,1977,2922,4398
492,1633,2492,2805,4445
750,1648,2805,4266,4727
703,1641,2828,4219,4695
703,1641,2789,4109,4711
758,1656,2563,2836,4828
711,1633,2875,4023,4609
586,1313,2891,4109,4820
586,1203,2289,2680,3992
1227,2320,2688,4242,4672
1211,2195,2484,3867,4789
719,1141,2484,3813,4813
734,1148,2539,3805,4609
734,1109,2586,3891,4563
711,1313,2555,3898,4609
727,1266,2563,3898,4563
688,1352,2477,3898,4547
656,1484,2305,2688,4523
734,1539,2375,2867,4297
719,1531,2219,3180,4266
703,1570,2070,2828,4078
711,1570,2250,3211,4117
602,1648,2844,4141,4828
656,1750,2844,4047,4703
711,1922,2867,4000,4703
688,2086,2938,4008,4859
664,2148,2867,4117,4875
633,2102,2945,4109,4875
633,2109,2891,4273,4875
586,2094,2820,4289,4492
484,2133,2820,2883,4492
617,2109,2883,4055,4398
680,2063,2844,4398,4898
227,2055,2844,4289,4836
219,688,2078,3070,4398
141,773,2102,3125,4102
695,2148,2586,3000,4117
641,1281,2359,3000,3945
695,1258,2336,3953,4367
625,2023,2805,3867,4250
492,1164,2047,2797,4406
469,1992,2797,4148,4508
656,2047,2859,4195,4508
641,2125,2852,4047,4695
523,2078,2875,4086,4695
422,2086,2891,4156,4695
633,2156,2938,3930,4305
484,2203,2953,3930,4305
648,2164,2906,4008,4305
531,2258,2992,3984,4508
438,2352,3031,3930,4422
414,2297,2891,3930,4422
469,2313,2688,3906,4500
438,2352,2688,3867,4430
383,438,2141,2750,4383
383,1188,2391,2750,4234
461,1211,2242,2805,4047
609,2148,2813,4070,4406
602,2102,2922,4070,4469
586,2188,2961,4078,4453
711,2078,2922,3984,4352
758,1609,2305,2906,4102
742,1609,1938,2258,2875
727,1914,2258,4039,4563
742,1703,2281,2805,4031
727,1711,2289,4031,4703
688,1773,2289,4203,4719
703,1750,2039,2820,4039
695,1703,2102,2766,3969
633,1742,2953,4063,4773
617,1625,2719,3578,4383
625,1617,2719,3789,4617
711,1625,2773,3367,4406
586,1625,2906,3891,4492
531,1609,2602,3195,4508
570,1734,2547,3227,3969
625,2070,2734,4086,4602
656,2102,2727,4211,4727
680,2109,2813,3883,4461
703,2141,2781,4047,4719
719,2133,2734,3898,4102
711,2211,2734,3992,4469
734,2289,2734,4039,4867
742,2227,2734,4031,4820
648,2227,3883,4227,4852
711,1328,2461,3789,4758
680,1117,2242,2563,4172
727,1883,2414,3883,4695
703,1797,2180,3844,4719
711,1656,2398,3945,4539
813,1805,2328,3938,4641
781,1734,2492,3914,4648
813,1727,2422,3930,4688
719,953,1672,2508,3961
602,1648,2492,4102,4414
719,1625,2477,3992,4578
695,1648,2461,3797,4547
969,1641,2555,4039,4531
875,1594,2680,3852,4539
1563,2438,2828,3883,4727
805,1555,2953,4016,4570
695,1586,2805,4234,4570
742,1531,2219,2805,4031
719,1461,2219,4039,4883
719,734,1336,1602,4648
734,1336,2266,4055,4336
734,1445,2234,3977,4367
734,1398,2328,3977,4500
734,1398,2367,3984,4742
1359,2141,2891,3859,4258
1016,2859,3859,4367,4914
1219,2078,2828,3688,4234
1164,2773,3664,4250,4922
1133,2789,3328,3852,4445
727,1063,2789,3430,3781
727,1141,2695,3336,3891
711,1414,2164,3375,4000
867,2164,2617,3445,3977
930,1625,2180,3477,4023
289,1617,2156,3227,4266
289,1086,2156,3477,3969
297,1234,1688,2172,3734
359,1234,1586,2273,3789
359,1602,2086,3805,4563
1586,2172,3625,3875,4773
1563,2375,3547,3969,4797
648,1570,2352,3570,3969
648,1578,2352,3922,4500
602,1570,2352,3977,4734
648,1633,2398,3914,4625
484,1664,2227,3492,4414
1547,2227,2578,3383,4539
