F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1391,1492,2297,3398,4539
1070,1523,2195,3172,4648
961,1617,1875,2195,4742
1352,1875,3391,3805,4797
1352,1875,2594,3602,4852
906,1531,2594,4133,4688
1023,2594,3641,4133,4805
1109,2734,3695,4203,4758
1234,2219,3664,4148,4680
1344,2016,2563,3461,4406
1250,2031,2586,3422,3789
1234,1883,2617,3758,4578
1336,1688,2508,3305,3992
1266,1688,2125,2852,4070
914,1586,2102,2836,4102
914,1758,2898,3250,3969
875,1984,2547,2898,3273
1961,2547,3141,3672,4648
922,1820,2477,3813,4781
969,1648,2797,3445,4852
945,1648,2266,3500,4359
961,1664,3445,4047,4813
883,2523,3438,4125,4820
883,938,1508,2984,3484
938,1523,2703,3930,4219
938,1398,2852,3906,4203
1102,2617,3219,3688,4227
1227,2422,2828,3281,4359
1078,2039,2484,3578,4133
1359,1719,2547,3336,4180
844,1359,2086,2867,3500
883,1664,2063,2813,4070
836,1516,2219,3445,4008
875,1531,2250,3414,4242
1469,2117,3461,4016,4766
516,734,2117,3898,4852
508,883,2141,3781,4734
516,883,2172,3641,4320
570,2023,2289,3641,4281
516,1969,2352,4109,4852
477,1969,2734,3836,4828
461,2133,3398,4070,4820
469,2016,2523,3711,4898
484,2688,3477,4023,4930
1422,1938,2594,3492,4148
1500,2594,3539,4164,4898
719,1352,2641,3523,4211
852,1344,2539,3523,3906
836,1938,2500,3672,3977
477,1930,2656,3883,4273
664,1945,2508,3883,4195
695,1445,1922,2547,3922
820,1445,1977,2641,3898
641,1445,2250,2602,3969
555,1508,2250,2547,3750
695,1469,1961,2461,3805
469,789,1961,2281,3609
492,1906,2523,3500,4156
484,1945,2445,3633,4352
836,1945,2672,3633,4008
914,1992,2828,3734,4188
727,1914,2633,3453,3914
891,1883,2664,3508,3859
469,1930,2375,3797,4172
594,1875,2453,3766,4367
547,1984,2828,3797,4539
1727,2539,2742,3711,4289
898,1844,2703,3922,4289
984,1914,2633,3789,4289
852,2250,2633,3672,4359
492,2336,2938,3766,4297
508,1953,2469,3531,4297
563,1836,2742,3578,4383
1156,1828,2773,3664,4391
906,2328,2891,4008,4477
828,2461,3727,4008,4773
922,1883,2594,3828,4836
1039,1883,2242,2969,3898
719,1258,2133,3438,4508
1523,2539,2969,3578,4781
1313,1898,2539,3547,4555
1234,1711,2891,4133,4539
1211,2828,3664,4008,4547
1258,2203,3453,3727,4586
1156,2352,3453,3727,4664
1227,2602,3289,3703,4352
1133,2063,3352,3703,4266
1156,1961,2398,3859,4359
781,1258,2789,3656,4609
617,1531,2547,3609,4094
625,1531,2617,3828,4336
586,1453,2609,3766,4414
586,1727,2617,3586,4555
734,1633,2367,3273,4078
1406,2141,2648,3516,4188
1430,2250,2703,3953,4688
1422,1813,2898,3648,4727
1367,1773,2891,3703,4367
1594,1945,2875,3719,4383
1578,1945,2875,3680,4391
1359,2063,3109,3852,4203
1352,2063,2781,3633,4477
1055,1484,2102,3555,4273
1547,2117,2906,3875,4516
953,1508,2148,3555,3953
1008,1484,2117,3602,3922
1359,1875,3594,3922,4422
1031,1922,2953,3711,4250
922,1328,2797,3719,4313
945,1359,2906,3586,4141
344,1047,2789,3523,4844
438,1063,2523,3539,4930
445,1094,2477,3391,3594
438,1234,2461,3281,3703
430,1352,2352,3133,3867
414,1430,2242,2773,4414
383,1492,2781,3852,4445
367,1563,2781,3711,3977
391,1570,2672,3734,4633
406,1625,2633,3711,4672
398,1672,2609,3680,4672
398,1766,2586,3750,4055
375,1805,2578,3734,4055
359,1828,2602,3742,4094
305,1758,2750,3672,4141
305,1625,2672,3672,4156
320,1711,2758,3672,4117
313,1680,1953,2773,4328
313,1680,1953,2766,4211
313,1570,2609,3492,4383
281,1406,2094,2656,3648
313,1406,2063,2781,3641
313,1414,2023,2836,3641
344,859,1930,2773,3781
344,789,1977,2695,4078
484,773,1891,2672,4078
469,875,1992,2688,4117
797,1977,2719,3664,3945
445,797,2016,2766,3695
289,1977,2773,3609,4117
328,2031,2789,3648,4094
359,1531,2047,2766,3688
367,1531,2094,2766,3680
367,1539,2172,2672,3695
359,1531,2242,2641,3656
344,1531,2203,2680,3703
344,1422,2305,2602,3703
344,1602,2188,2484,3703
344,2188,2563,3656,4336
297,2195,2617,3594,4398
305,2188,2680,3680,4453
352,2172,2625,3742,4945
391,2141,2641,3805,4906
406,1406,2141,2695,3836
422,1367,2109,2727,3859
445,1523,2078,2734,3953
461,1898,2773,3914,4852
477,1914,2797,3875,4836
508,1844,2781,3859,4922
516,1805,2813,3875,4875
516,1750,2828,3758,4883
508,1734,2859,3727,4195
492,1703,2859,3758,4195
453,1664,2773,3750,4234
336,1602,2727,3711,4203
375,1648,2805,3695,4227
367,1641,2773,3688,4172
375,1625,2094,2797,3180
367,1609,2086,2805,3672
359,1609,2758,3008,3641
336,1594,2766,3703,4148
414,1758,2703,3695,4102
469,1859,2734,3664,4156
500,1898,2875,3641,4156
516,1891,2797,3672,4367
531,1953,2766,3688,4133
570,1813,2141,2781,3742
602,1781,2344,2711,2953
602,1711,2141,2773,4016
641,1734,2141,2836,3898
641,1664,2844,3727,4055
680,1602,2164,2875,3914
766,1578,2102,2797,3656
781,1570,2125,2883,3781
766,1508,2164,2883,3672
781,1500,2156,2883,3734
773,1461,2148,2883,3672
781,1469,2125,2906,3688
383,773,1438,2945,3703
320,1398,2500,2961,3859
328,1383,2516,3008,3852
313,1469,2508,2961,3922
305,1438,2508,2961,3836
313,1391,2453,3023,3664
563,1414,2438,3055,3875
680,1398,2438,3000,3906
742,1398,2391,3000,3938
625,1398,2367,3063,3867
656,1305,2406,3047,3930
