F1,F2,F3,F4,F5
609,1445,2172,3297,4570
578,1391,2828,3273,4539
477,1227,2750,3328,4695
430,1273,2766,3320,4680
422,1313,2695,3281,4609
398,1211,2734,3281,4695
398,1234,2734,3281,4570
305,1297,2727,4500,4906
273,1297,2711,4445,4906
242,1297,1594,2711,4531
242,1594,2719,4008,4570
203,1555,3281,4023,4656
234,1570,2773,3719,4656
547,1555,2922,3492,4656
484,1352,2844,3555,4867
602,1352,2727,3406,4781
594,2719,3469,4047,4766
656,1508,2781,3445,3969
688,1445,2586,3531,4125
219,2203,2625,3445,4406
383,2203,2695,3477,4445
586,2250,2813,3516,4352
516,2680,3469,4352,4648
242,516,2703,3430,4281
242,742,2188,2703,3805
734,2219,3641,4344,4875
914,2313,2727,3891,4453
797,2086,2750,3492,4656
547,2867,3461,4055,4695
633,2648,3344,4070,4891
477,617,2070,3188,3758
469,602,2070,2641,3352
477,2125,3305,3898,4758
445,3281,3547,3961,4625
430,2055,3086,4078,4750
453,1430,3086,4000,4813
445,1469,3125,3992,4820
453,1477,3117,4063,4703
414,1563,3055,3820,4703
422,1453,2000,3820,4711
414,1563,2008,2977,3836
547,1492,2922,3828,4883
547,1547,2969,3750,4445
688,1445,2906,3586,4406
422,1445,2859,3578,4563
383,1461,2766,3508,4563
383,1469,2805,3453,4594
523,2039,2875,3555,4734
391,2016,2945,3594,4336
406,2125,3531,4375,4891
313,2086,2930,3617,4219
297,2156,3609,4367,4695
352,1664,3578,4391,4891
375,1680,2102,3266,4922
320,1555,2188,2813,4016
359,1594,2117,3289,4086
414,1586,1906,2875,4172
414,1586,2234,2813,3867
406,1578,1891,2859,4008
406,1563,1922,2266,2875
422,1586,2125,2891,4023
414,1594,2258,2914,4039
422,1594,2914,4063,4609
414,1586,2891,4047,4781
398,1555,2227,2828,4008
398,1656,2297,3938,4766
398,1719,2492,2766,3953
398,1719,2109,2625,3945
375,1586,2203,2656,3914
406,1922,2641,4008,4641
398,1906,2680,3969,4641
398,2125,2688,3969,4641
406,2148,2797,4055,4664
414,2141,2773,4086,4773
414,2141,2836,3977,4773
414,2172,3008,4078,4875
398,2188,2969,4055,4750
391,2047,2727,2945,3953
383,2125,2922,3953,4617
344,2086,2734,3844,4430
344,1961,2750,3859,4430
383,1969,2617,3867,4555
391,1969,3008,3898,4609
563,2039,3016,4047,4406
453,2000,2602,3875,4766
383,805,2125,2500,3766
391,883,2102,2531,3984
