F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
1023,2094,2586,3344,3898
883,1852,2586,3344,3852
1094,2000,2500,2953,3852
1094,1133,2273,2742,3438
1133,1875,2578,3313,4156
977,1961,2586,3281,3586
961,1977,2594,3281,4211
1438,2430,3055,3625,4211
969,1570,2469,3289,3625
969,1672,2602,3242,4453
930,1586,3313,3750,4508
797,930,1586,3813,4305
797,1656,2773,3398,4297
1672,2680,3375,3789,4555
1164,1953,3016,3688,4477
1000,1719,2078,2875,3836
977,1719,2078,2906,4039
1289,2531,3602,3930,4727
836,1195,2680,3930,4945
828,2461,3398,3930,4945
1266,2273,3422,3953,4359
719,2328,2703,3742,4625
906,1414,2758,3797,4516
539,1172,2070,2953,3883
1148,2203,2836,3555,3883
1148,1695,2547,3398,4445
1383,1914,2680,3555,4555
1148,1875,2555,4148,4781
641,1688,2859,3953,4664
617,1156,2570,3789,4602
586,1156,2406,4156,4680
586,1375,2781,3891,4758
1047,2344,3633,4055,4758
1234,2570,4078,4633,4859
1250,2281,2570,3523,4172
1039,2430,3672,4250,4883
414,1414,2383,3398,4102
625,1578,1797,3438,4234
688,1242,2156,4023,4359
773,1242,1578,2156,3688
773,1766,3016,3492,4383
883,1992,2867,3453,4383
648,1195,1953,2813,4773
547,1156,2539,3219,4750
414,1156,1719,2516,3250
664,1719,2539,3789,4469
602,1750,2656,3344,3602
625,1781,3242,3672,4602
602,1242,1969,3242,3656
320,719,1242,1867,3633
320,766,1266,1891,3633
430,1281,2094,3289,3898
266,992,2141,3383,4383
219,797,2164,3219,3867
875,2203,3219,3734,4609
656,1180,1984,2234,3305
703,1148,2211,3359,3711
703,1000,2055,3273,3789
586,703,2156,3297,4031
586,1273,2016,3211,3852
641,1164,2203,3234,3750
680,2164,3180,3375,3820
281,703,2000,2922,3750
281,680,2023,2922,3953
609,1188,2195,3125,3914
656,1141,2078,3008,3953
375,867,1922,3008,3875
359,859,1984,3055,3664
359,648,1969,3203,3766
445,867,2117,3258,3813
414,977,2086,3227,3805
414,1039,1969,3156,3695
734,1039,1992,3172,3742
625,1094,1953,2375,3727
719,1055,1898,3227,3773
313,727,1219,1875,2227
289,617,1289,1984,3250
695,2047,2102,3305,3742
320,1164,2164,3328,3742
648,1188,2211,3305,3750
648,938,1961,2258,3641
961,1875,2242,3195,3813
328,914,1922,3227,3844
328,688,1109,1977,3125
648,1164,2023,3117,3766
672,1078,1984,3219,3594
641,1188,1945,3117,4836
664,1945,3102,3750,4914
633,1852,2414,3078,3828
750,1883,2305,2984,3742
648,961,1875,2305,3039
703,1852,2313,3016,3719
688,1016,2297,3070,3750
688,1023,1875,2453,3648
742,1023,1828,2406,3563
727,1023,1773,2391,3555
906,1453,1727,2391,3656
680,1453,2438,3648,4164
633,1742,2359,3281,4211
1680,2148,2414,3516,3992
1680,2039,2523,3125,3992
828,1703,2859,3734,4570
883,1469,3055,3984,4453
852,883,1188,2523,3961
852,1289,2523,2938,4094
852,1289,2680,2938,3805
1273,2523,3211,3617,4195
1258,2125,2992,3609,4219
1258,1445,2242,3141,4914
1445,2344,3195,3797,4938
1367,2211,3047,3914,4875
633,1219,2594,3164,3977
727,1086,2008,3063,3688
1086,1766,2422,3266,3688
1164,1766,2523,3070,3813
1078,2281,3078,3688,4578
445,2336,2953,3719,4727
539,1039,2586,3945,4594
484,977,1211,2828,3930
500,1234,2594,2969,3875
516,672,1398,2547,3711
664,1469,2594,3133,3617
688,1711,2586,3156,3617
305,1789,2555,3203,4859
281,1828,2750,3164,4719
313,1844,2570,3172,4773
289,1844,2547,3250,4758
297,695,2227,3320,4703
297,695,2227,2477,3234
461,2305,2469,3258,4648
0,445,2422,3266,4648
281,2297,3320,3656,4602
281,2234,3328,3656,4602
0,461,2242,3406,4555
445,1227,2156,3258,3656
406,1227,2172,2555,3398
352,1203,2250,3227,3641
391,1336,2773,3164,3641
289,1484,2422,3102,3805
258,1430,2492,3125,3555
250,1000,1664,3094,4703
352,1164,2336,3094,4664
641,1172,2430,3094,4625
711,1172,2375,3117,4445
727,1172,2234,3086,4727
672,1172,2383,3086,4648
367,680,2430,3078,4680
367,2422,3219,4484,4648
422,2430,3203,4453,4922
617,2445,3234,4375,4938
383,609,2461,3172,4711
641,2250,2516,3188,4453
367,648,2555,3180,4438
391,633,2508,3141,4430
344,617,2508,3211,4391
344,641,2227,2578,3133
648,2234,2898,3133,4516
641,2227,2813,3453,4445
594,2227,2781,3625,4492
344,609,945,2727,3773
680,938,1266,2766,4359
461,1594,2563,4070,4781
484,1484,2555,3938,4672
469,2195,2844,3953,4750
422,2117,2977,3906,4313
469,2148,2711,3906,4375
469,2102,2836,3836,4344
703,2180,3008,3125,3664
688,2125,3031,3742,4945
727,2141,3102,4383,4836
719,2141,3086,4305,4703
711,1945,3086,3703,4727
703,1992,3148,3766,4867
680,2125,3203,3719,4867
477,2117,3102,3719,4836
477,2078,3148,3711,4781
484,2102,3047,3703,4805
484,2125,3086,3688,4820
484,2078,3102,3711,4766
469,2055,3086,3602,4703
469,2031,3094,3797,4695
453,2016,3070,3859,4797
469,1945,3047,3883,4773
500,2188,3211,4266,4656
602,2234,3188,3781,4641
648,2484,3172,4227,4617
648,2500,3172,4391,4594
641,2484,3156,3883,4367
633,2492,3023,3828,4375
617,2469,3148,3742,4367
617,2453,3133,3742,4375
617,2453,3109,3734,4375
625,2445,3023,3797,4234
641,2320,3141,3797,4438
656,2336,3164,4297,4484
664,2211,3063,4023,4523
672,2172,3078,4023,4313
680,2164,3109,3844,4211
695,2180,3148,3844,4398
852,2016,3133,3719,4258
922,1828,2266,3195,3914
898,1898,3195,4016,4930
