F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
0,1000,1922,3469,4320
992,1914,2492,3430,4383
1664,2492,3195,3664,4813
1484,2227,2539,3469,4906
484,1328,2766,3656,4883
484,1328,2344,3789,4539
453,1352,2359,3789,4477
453,695,1461,2648,3508
695,1242,2250,2648,3648
836,1273,2250,2883,3672
914,1094,2141,3563,4234
1242,2039,2906,3711,4141
852,1789,2523,3227,4328
664,1789,2492,3219,4414
664,1570,2383,3555,4469
906,1344,1992,3414,3922
1023,1344,1898,3297,4313
813,1492,2352,3430,4125
750,1891,2234,3148,4016
633,1961,2234,3055,3922
625,1180,1914,3383,3898
633,1164,1875,3281,3859
641,1164,1703,3273,3836
609,883,1953,3273,3773
648,922,1953,3227,3852
609,922,1891,3219,3828
563,875,1961,3281,3695
633,875,1961,3422,3922
602,914,2094,3383,3813
602,1305,1820,2219,3617
625,2063,2188,3234,3828
625,1195,2008,3234,3625
688,1242,1914,3313,3711
914,1203,2047,3156,3594
664,1203,1969,3234,3672
625,1023,1945,3195,3523
633,1234,1930,2203,3305
680,1305,1992,3383,4016
672,1961,2219,3352,3953
625,1930,2367,3156,3758
594,977,1258,2133,3266
625,977,2063,3258,4008
727,1195,2008,3148,4031
695,1914,3109,3711,4227
633,1969,3188,3586,4055
914,1914,3141,3813,4063
617,914,1898,3359,3789
0,773,2000,3172,3820
0,680,1914,3234,3789
633,1883,3117,3680,4016
625,1898,3133,3594,4016
609,1867,2148,3188,3633
891,1953,2250,3180,4039
641,1844,3211,3766,4039
641,1898,3188,3742,4328
602,1867,2227,3148,4078
625,1906,2508,3242,3773
648,1938,2336,3406,3883
625,1891,2398,3086,3703
711,1961,3102,3672,3992
617,1813,2258,3125,3578
602,1813,3016,3484,4055
0,656,1813,3266,4023
0,688,1906,3164,4227
477,852,1906,1938,4289
477,852,1938,3523,4484
719,1813,3344,3695,4578
625,1586,3344,3773,4117
641,1586,1984,3391,4789
391,1094,1805,3328,3891
648,1094,1797,3414,3898
703,1242,1672,3078,3641
703,1148,1742,3461,4023
750,1641,2258,3414,4242
695,1625,2125,3445,3828
648,1688,1984,3172,3594
633,1633,1992,3320,4000
641,1773,3203,3563,4031
633,1828,3023,3469,3930
711,1617,3023,3469,3945
766,1453,1773,3430,4000
1164,2031,3156,3477,3953
555,1141,2031,3039,3969
1188,2156,3039,3602,3945
719,1250,2180,3070,3875
906,1555,3023,3750,4625
898,1609,2891,3555,4891
977,1836,2891,3453,4742
664,1500,1898,3391,4742
664,1203,2008,3398,4680
680,1320,2078,3203,4641
734,1250,2000,3297,4664
703,1281,2031,3289,4703
742,1273,2305,3477,4656
891,1164,1273,2398,3453
680,1164,2453,3555,4539
703,1094,2484,3586,4500
0,898,2422,3367,4547
0,680,2375,3359,4500
633,1102,2398,3406,4617
1102,2438,3383,3594,4648
273,1078,2469,3430,4625
242,1055,2414,3531,4523
242,922,2438,3445,4508
242,1109,2477,3469,4344
867,1594,2438,3469,4133
633,1648,2172,3523,4109
633,1734,2258,3445,4070
703,1930,3391,3789,4133
695,2234,3227,3711,4234
1391,1625,2469,3227,4266
664,1797,2602,3648,4297
625,1242,2328,3328,4313
789,1570,2375,3727,4164
805,2398,3313,3906,4711
664,2406,3391,3906,4766
656,2477,3297,4484,4828
602,2461,3359,4242,4820
625,2469,3484,4242,4805
664,2242,2578,3352,4383
602,898,2586,3484,4789
570,977,1844,2680,3758
828,1734,2602,3539,4859
836,2297,2789,3500,4844
836,1648,1953,2313,3008
719,1938,3070,3742,4344
641,1641,3102,3492,4508
453,891,2992,4438,4805
609,1492,2852,3359,4813
719,1586,3289,4227,4820
430,898,2750,3141,4414
391,930,2781,3203,4414
414,906,1914,3242,4320
516,859,1180,1773,3258
633,1195,2047,3266,4852
398,1430,1773,3281,4711
422,1430,2250,3266,4711
430,1430,2031,3211,4172
445,1945,2430,3109,4164
375,1805,2250,3234,4258
383,1805,2250,2898,4398
695,1805,2273,3352,4164
672,1805,2289,3391,4172
664,1867,2297,3445,4172
695,1945,2438,3211,4219
680,2313,3117,3453,3961
734,2234,3266,3938,4367
789,2258,3336,3938,4516
773,2305,3453,3953,4461
852,2297,3602,4508,4680
758,2234,3281,3563,4813
852,2219,3602,4297,4781
766,2047,3266,3648,4359
703,2055,3328,3664,4750
648,2031,3297,3578,4828
773,1977,2203,3258,3586
703,2094,3266,3516,4852
680,2008,3250,3547,4820
664,1969,3195,3672,4758
797,1961,3188,3789,4797
781,1828,3125,3766,4727
836,1828,2328,3344,4664
734,1852,2422,3508,4570
617,1680,1953,2555,3508
680,1672,2516,3375,3680
711,1672,2453,3414,3680
711,1773,2531,3305,3906
734,2359,3359,3898,4258
813,1914,2508,3367,4414
711,1914,2602,3398,4516
695,1914,2555,3508,4328
695,2078,2586,3586,4469
648,2023,2570,3352,4344
711,2125,3328,3883,4344
703,2281,2531,3156,3773
773,2477,3164,3742,4344
844,2414,3258,3875,4344
867,2211,3250,3977,4250
820,2250,3313,3695,3977
984,2281,3414,3695,4148
914,1922,2258,3289,3820
969,2047,3172,3664,4117
813,1930,3297,3664,4117
1000,1922,3391,3992,4938
664,945,1891,3438,4047
953,1813,3250,3992,4797
672,867,1750,3367,4648
938,1828,3305,3672,4648
969,1750,3391,4055,4633
875,1750,3453,4055,4633
703,1750,3445,3914,4695
648,1703,2461,3555,4750
758,1672,2531,3539,4500
680,1680,2539,3484,4922
648,1711,2484,3461,4461
750,1828,3102,3445,4602
820,1719,3297,3563,4789
648,1648,3172,3703,4852
641,883,1695,3109,3695
0,852,1594,3102,3758
922,1406,1570,3102,3781
883,1352,2391,3602,4695
719,1258,2391,3578,4789
