F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
0,0,1594,3141,4742
1000,1750,3086,3891,4570
1000,1734,3258,3891,4797
1211,1805,2984,3852,4797
1195,1742,2859,3641,4914
1055,2289,2844,3641,4258
1070,1766,2336,2844,4195
1086,1766,2172,2563,4664
875,1195,1703,2172,4844
875,1703,2102,3406,4133
1039,1789,2406,3297,4320
1734,2406,3008,3711,4531
1914,2484,2828,3711,4117
781,2180,2844,3734,4945
695,2023,3688,4211,4930
1805,2734,3500,3820,4516
758,2047,2750,3906,4945
836,2031,3641,4539,4844
789,2086,2555,3727,4422
688,2047,3258,3750,4398
633,1961,3148,3875,4180
672,1969,3625,4055,4773
867,1992,2734,3539,4055
773,1969,3633,3961,4781
734,2000,2797,3922,4750
594,758,1984,2781,3555
664,2031,2891,3844,4813
680,2055,2930,3578,4156
578,922,2086,2992,4281
609,922,2047,2945,4109
742,2008,3539,4117,4859
695,1992,3508,4156,4938
594,930,2000,3273,4164
703,1984,3016,3438,4141
711,2016,3680,4141,4875
633,2008,3016,3469,4102
766,2031,2945,4070,4758
633,1969,2758,4070,4844
742,2031,3352,4117,4828
625,1992,2734,3328,3836
938,2023,2750,3891,4469
1000,1977,2766,3133,4469
969,2008,2914,3617,4508
664,1930,2945,3844,4516
734,2023,2875,3359,4141
938,2063,2664,3266,4180
922,2039,3266,4000,4578
883,1977,3711,4391,4875
727,1961,3711,4383,4719
836,1953,3633,4289,4719
750,1938,3219,3820,4414
773,1953,3305,3969,4719
813,1961,3281,4023,4586
898,1961,3086,4281,4945
813,1875,2891,3594,4625
680,1891,3297,4219,4852
820,1875,2813,3430,4289
820,2180,3070,3992,4352
844,1578,2188,3258,3828
844,1609,3273,3898,4758
883,1602,3258,3977,4758
898,1813,3133,3555,4922
891,1820,2242,3055,3500
891,1688,2469,3055,4266
977,2258,2695,3781,4305
1156,2219,2633,3594,4414
898,1586,2789,3758,4555
930,1484,2602,3078,3914
891,1656,1969,3742,4102
930,1641,2008,2922,4031
758,1641,1961,2922,4039
781,1641,1961,2758,3969
898,1711,2109,3289,3984
852,1492,2313,3180,3766
797,1492,2273,3336,4219
1008,1508,1992,2383,2742
836,1930,2930,3625,4195
633,2141,3375,3703,4258
1031,1984,3445,4133,4875
633,1086,2070,3266,4109
781,2086,3211,4164,4797
914,1602,2891,3516,4813
1555,2242,3398,4055,4859
1508,2086,2711,3672,4781
430,1625,2094,3633,4844
555,1531,2086,2422,3633
609,1492,2078,2492,4008
633,1563,2055,2641,3922
625,1625,2164,2688,3609
633,1578,2727,3492,3930
430,1523,2188,2883,3492
602,1672,2844,3578,4211
625,1586,2375,2883,4195
672,1594,2289,2906,4234
398,1477,2336,2844,4250
313,773,1578,2734,4227
297,773,1672,2758,4305
281,1758,2797,3656,4281
266,1797,2875,3586,4273
234,1711,2742,3578,4313
227,1813,2734,3563,4484
211,1648,2117,3430,4352
234,1742,2930,3320,4484
797,2086,2875,3484,4328
227,648,1984,2977,3484
227,898,1945,3219,4266
125,1961,2844,3344,4164
125,695,2008,2914,3344
883,1984,2992,3344,4219
789,2000,2867,3492,4727
695,2070,2805,3672,4211
688,2039,2859,4234,4883
547,2016,2836,3453,4219
539,2047,2852,3461,4219
367,2109,2906,3516,4258
539,2164,3023,3539,4281
555,2164,2773,3203,4313
336,563,2188,2742,3297
328,563,2188,2859,4203
320,539,2500,4273,4617
289,2172,2469,2695,4117
305,2172,2719,4117,4438
305,2109,2789,3961,4422
406,2203,2922,3961,4313
523,2164,2750,4172,4930
805,2063,2844,3984,4945
594,2070,2836,3984,4820
570,2016,2891,3992,4891
547,1617,2102,2938,4492
391,1531,2172,2930,4477
422,1531,2266,2945,4430
516,1531,2086,2930,4305
531,1633,2148,3008,4281
492,3008,4211,4570,4906
516,1578,2953,4547,4883
492,1539,3000,3555,4516
484,1539,2133,3117,4453
1492,2086,2742,3320,4203
1492,2320,2773,3406,4203
2250,2953,3406,4313,4852
1688,2992,3563,4305,4852
1625,2906,3453,4297,4914
773,1477,2227,3203,4781
906,1992,2820,3008,4734
711,2063,2938,3477,4641
602,2008,2930,3352,4586
625,2008,2984,3977,4594
664,2078,3039,3977,4469
633,2039,3023,4148,4391
625,2063,3063,4305,4578
609,1633,2031,3070,4055
609,1547,2000,3086,4422
625,1547,2023,3094,4594
609,2039,3344,4328,4563
461,2016,3008,3438,4359
453,1688,2977,3203,4469
570,1656,2898,3461,4375
570,1586,2984,3523,4406
570,1688,2859,3531,4344
570,1672,2836,3531,4297
523,1617,2898,3477,4266
578,1977,3063,3656,4297
578,2008,3039,3508,4398
656,2039,3023,3648,4406
555,695,2109,3047,4414
555,672,2102,2984,3719
633,2109,2945,3664,4508
539,688,2094,2938,4508
695,2086,2969,4289,4594
695,2094,2969,4336,4594
703,2117,2977,4320,4594
719,2086,3078,4219,4492
719,1984,2094,3039,3359
773,1992,2992,3531,4156
742,898,1992,2930,4234
906,2008,3000,3484,4211
906,1789,2000,3031,4203
906,1773,2016,3227,3961
898,1734,3180,3531,3891
883,1711,3164,3609,4109
930,1688,3242,3609,3875
930,1586,3289,3609,4070
875,1625,3203,3695,4156
617,875,1680,3203,4281
578,1617,2219,3148,4313
453,586,1734,2148,3164
219,422,617,820,1711
461,609,1695,3109,4352
578,1625,2109,3133,4273
508,1617,2227,3109,4297
453,1617,2234,3109,4211
781,1539,2211,3453,4297
773,1563,2023,3094,3516
516,1563,3078,3516,4789
430,1633,3023,4227,4883
430,1555,2219,3063,4344
398,1523,3148,3844,4328
398,2195,3266,4273,4844
188,1461,2133,3727,4727
188,2203,3211,3789,3922
195,1500,2852,3625,4664
883,2172,3086,4094,4656
