F1,F2,F3,F4,F5
1125,1773,2820,3758,4211
1648,3086,3688,4477,4922
1008,1836,3102,3703,4680
1055,1547,1820,3133,4758
797,1125,1594,3148,4672
313,797,1695,3219,4648
1641,2539,3484,4617,4922
227,1602,2516,3266,4617
609,1633,2844,3266,4406
586,1625,2805,3281,4461
609,1039,1617,3250,4500
633,1703,3008,3266,4500
789,1633,3008,3273,4766
313,1016,1648,3016,3555
1008,1680,3047,3531,4688
266,1695,2758,3453,4492
125,1672,2617,3547,4477
438,1656,2703,3766,4578
289,1555,2547,3625,4742
547,1594,2563,3625,4508
555,1453,2758,4227,4477
578,1500,2734,4180,4563
648,1594,1898,2523,4148
828,1508,1898,2500,4242
555,1484,1977,2430,4266
516,1063,1430,2109,2992
539,1586,2242,3023,3750
625,1477,2070,3750,4531
711,1672,2859,3852,4469
648,1641,2773,3805,4367
547,820,1641,2859,4281
898,1352,2844,3461,4281
820,898,1352,2797,3734
820,1563,2797,3422,3781
898,1594,2344,3578,4109
289,813,1313,2344,4055
398,1164,2297,3781,4414
547,1164,2102,3656,4523
398,1664,2070,3023,3828
617,1516,2078,3023,3867
656,1516,2188,2992,3586
633,1680,2242,3438,4664
648,1586,2977,3398,4445
703,1383,2367,3031,3414
758,2109,2984,3477,4445
813,2305,2984,3469,4391
797,1164,1570,3031,3664
742,1102,1547,3031,3719
672,1078,1625,3125,4172
813,1578,3078,3617,3930
813,1563,3172,3516,4672
781,1125,1563,3133,3547
1109,1563,3164,3688,4727
1109,1609,3172,3680,4031
1063,2305,3172,3844,4813
898,1656,2070,3172,3836
914,2141,3227,3594,4883
1094,2023,3219,3758,4781
789,1016,3141,3836,4664
719,789,1078,3109,3805
719,1078,3141,3797,4914
516,1203,2477,3164,3836
555,1320,3125,3859,4375
570,1555,2266,3898,4438
578,1492,2203,3242,4227
617,1477,2195,3836,4258
555,1539,2336,4008,4188
453,852,1438,2406,3164
273,789,1578,2914,3945
86,906,1609,2883,4016
344,1047,1617,2719,3922
406,867,1734,2719,4125
875,1656,2180,3188,4273
617,1086,1719,2445,4164
648,1664,2367,3281,4406
430,1633,3391,4313,4750
391,1594,2211,3391,4695
414,1578,2406,3352,4266
352,2352,3422,4281,4633
461,2430,3352,4289,4797
383,1602,2805,3258,4234
383,1773,2734,3305,4523
375,1727,2484,3336,4430
375,1695,2625,3211,4070
344,1852,2680,3102,4148
344,1711,2648,3141,3977
484,1914,2766,3281,4195
461,1984,2875,3281,4430
430,1938,2813,3289,4367
398,836,1820,3031,4367
422,844,1711,2953,4648
461,1016,1758,2969,4414
469,1602,2938,3813,4391
500,1594,3070,3789,4656
492,1633,2930,3688,4188
500,1617,3008,3438,4477
516,1578,3086,4117,4547
453,1633,3016,4164,4422
445,1656,3039,3766,4180
555,1813,2977,3789,4258
523,1758,2813,3711,4094
477,1609,2766,4227,4828
406,1742,2875,4164,4781
461,1109,2352,3211,4180
445,1086,2352,2875,4188
563,2430,2813,3109,4375
500,2094,2813,3250,3492
477,2133,2914,3250,4367
461,2281,2539,2891,4430
430,2531,3109,4109,4477
453,2594,3055,3820,4055
375,1570,2656,3938,4859
406,2695,3141,4094,4695
414,1398,2609,3820,4148
391,2703,3250,4141,4914
367,1328,1758,2641,3680
477,1625,2555,2992,4219
430,2516,3070,3930,4266
414,1641,2398,3070,4234
492,1688,2336,3070,4148
609,969,2172,2852,4336
594,1047,2141,2844,4234
641,2086,3258,4219,4805
578,2047,3070,4258,4891
727,1078,2047,3016,4297
875,1992,3242,4164,4516
984,1992,3023,4180,4516
773,2008,3047,4188,4766
1492,2016,3289,4180,4633
563,773,1953,3258,4633
563,773,1586,1922,2914
672,1617,1891,2852,4109
875,1922,2719,3547,4117
867,1922,3313,4328,4828
805,2031,2492,4313,4891
688,2008,2492,4211,4836
664,2047,2906,3375,4336
578,2023,2953,3320,4305
492,2094,2961,3266,3734
633,2141,2961,3656,4195
508,1445,2258,3031,4320
469,1320,2320,3141,4273
445,1367,2211,3039,4289
430,2211,3000,4211,4805
422,2180,3047,4242,4555
398,2133,3141,4102,4875
750,1969,3133,4102,4734
523,1984,3078,4117,4633
813,1906,3117,3844,4617
813,1844,3117,3883,4422
508,1828,3047,3836,4305
477,1047,1719,3164,4406
555,1680,3164,3844,4391
523,1664,3148,3844,4266
484,1570,3164,4227,4797
563,1633,3219,4398,4906
578,1508,3195,4320,4875
609,1602,3156,4336,4875
445,813,1523,3188,4422
445,719,1516,3180,4328
719,1539,3180,4375,4906
625,1594,3234,4305,4938
523,1555,2250,3148,4203
523,1500,2227,3188,4656
1523,2234,2711,3227,4820
1500,2711,3320,4242,4859
1586,2641,3273,4070,4484
938,2156,2641,3508,4789
891,1914,3070,3805,4719
953,2469,3141,3875,4563
1281,1906,2375,3063,4469
781,1313,2234,2938,4469
813,1313,2266,2938,4516
813,1313,2211,3047,4328
1430,2250,2680,3273,4328
1203,1758,2914,3273,4500
266,1641,2523,3484,4273
266,1609,2461,3258,4383
320,1703,2453,3281,4297
305,1680,2422,2453,4367
344,1672,2422,3281,4297
211,1773,2461,3336,4297
211,1891,2586,3305,4297
938,1992,2641,3969,4484
914,2008,3164,4047,4375
281,914,1789,3070,4820
938,1789,3188,4344,4664
352,672,1859,3375,4367
930,1820,3109,3773,4781
875,1688,2438,2898,3875
844,1547,2898,3461,4055
1078,2430,3234,4438,4898
1328,2000,2664,3477,4250
609,2055,3188,4438,4930
570,2008,3227,4383,4883
695,1875,3273,4188,4883
203,1188,1766,2633,4336
375,1125,2555,3742,4711
758,1648,3234,3805,4781
633,1547,2820,3148,4422
750,1516,2594,3148,4336
1492,2164,2781,3813,4305
1422,2180,3172,4047,4859
