F1,F2,F3,F4,F5
0,0,0,0,0
0,0,0,0,0
430,1016,2414,3039,4453
375,961,2414,3109,4453
375,2406,3219,4469,4547
375,2477,3227,4406,4633
375,2422,3164,4156,4648
375,2406,3203,4094,4648
398,2539,3047,4063,4734
344,2539,2977,4109,4641
352,2492,2930,3813,4102
375,2516,2828,3203,4102
391,2563,2883,3203,4102
414,2445,2789,3281,4078
430,1539,2516,2789,3375
398,1695,2758,3859,4383
391,1031,1516,3000,4328
711,992,1516,3016,4266
672,992,3125,3758,4086
477,992,1273,3188,3875
445,695,1273,2961,3898
438,1531,2898,3820,4102
375,1320,2875,3797,4102
445,1391,2922,3797,4625
445,1625,2930,3797,4508
797,1945,2859,3977,4547
453,2078,2914,3977,4484
547,1539,2859,4055,4719
586,1828,2891,4078,4438
391,1289,2750,3070,4234
695,2016,2406,3094,4258
664,1945,2531,3086,4500
688,2117,3172,4242,4711
672,2086,3141,4258,4711
703,2180,3125,4141,4727
680,2422,3195,4156,4852
656,2133,3156,4039,4586
648,2117,3078,4039,4695
656,2125,3109,4281,4695
648,2078,3086,3922,4844
586,2008,3180,4625,4922
406,2031,3172,3883,4758
391,1945,3086,3313,4625
383,1938,3047,3438,4594
375,1977,2867,3422,4484
375,1930,2867,3289,4508
375,2055,2961,3289,4547
391,1984,3102,3648,4461
500,2125,3008,4445,4875
578,2195,3063,3883,4430
648,2227,3086,4414,4914
672,2305,3148,4313,4742
602,2438,3219,4133,4398
594,2453,3234,4258,4555
656,2398,3195,4289,4945
609,2414,3188,4273,4945
648,1758,2508,3203,4305
672,2336,2500,3281,4289
727,1688,2250,3094,4203
695,2156,2469,3227,4172
727,2078,2422,3227,4367
750,2078,2703,4031,4500
734,2000,2508,2828,4250
766,1977,2688,3188,4320
766,1766,2555,2852,4148
781,1797,2727,3344,4133
813,1922,2750,3047,4188
727,1781,2844,3102,3930
758,1664,2695,3102,4016
828,1664,2695,3102,4047
805,1766,1914,3125,4117
0,797,1742,3086,4109
789,891,1734,3109,4102
875,1695,3164,3578,4094
813,1883,3125,3578,4164
820,1656,3180,3578,4133
773,1734,3367,3891,4258
711,1727,3227,3891,4281
344,1773,2438,3234,4617
305,688,1703,3211,4453
391,1711,2625,3242,4414
453,1625,2578,3313,4656
367,1594,2578,3289,4359
461,1711,2578,3250,4383
477,750,1648,3180,4438
375,750,1633,3422,4477
758,1664,3328,3672,4484
773,1648,3266,3750,4516
445,758,1617,3234,3719
430,750,1594,2195,3242
289,734,1523,3258,3805
734,1414,2281,3289,3703
727,1266,2281,3219,3734
750,2531,3219,3750,4336
688,2508,3070,3625,4539
430,1227,2508,3617,4617
414,1242,2945,3680,4547
414,1438,2578,3688,4477
375,1383,2836,3664,4469
367,1422,2711,3695,4320
297,1477,3188,3625,4820
250,1664,3180,3625,4664
281,1367,3180,3695,4570
258,836,2711,3227,4133
391,977,2461,3203,4078
313,773,2469,3219,4000
773,1695,2367,3813,4141
703,1734,2391,3211,4070
695,1734,2258,3211,4008
672,1789,2641,3195,3766
555,1586,2641,3172,3703
820,1648,2344,3148,4102
750,1234,2344,3148,4031
711,1375,2336,3766,4945
1016,2375,3680,4094,4813
773,1703,2039,2656,4148
898,1922,2656,2766,4133
867,1922,2766,3656,4063
664,2961,3656,4109,4680
656,1680,3008,3797,4641
758,1711,3133,3836,4414
805,3023,3539,3828,4820
570,766,3320,3828,4914
586,828,3063,3602,4531
594,750,3070,3781,4523
758,922,3070,3813,4523
531,773,3102,3781,4555
523,813,3117,3758,4641
422,852,3047,3797,4656
477,813,3141,3820,4633
484,828,2555,3156,3898
805,2477,3164,3922,4602
461,859,2484,3164,3922
484,883,3203,3922,4633
461,859,3039,3938,4891
445,930,3023,3992,4883
445,2977,3969,4695,4836
438,1141,3016,4016,4844
438,1258,2906,3969,4906
453,1336,2875,4016,4891
453,1492,3117,3938,4945
430,1680,3109,3969,4594
438,1625,3102,3969,4594
430,1711,3117,4039,4594
383,1734,3133,4430,4727
453,1703,2344,3141,4453
461,1766,2203,3172,4445
438,1773,2414,3281,4453
445,2000,2508,3219,4461
461,1766,2477,3250,4391
438,1766,2336,3180,4281
461,2086,2352,3188,4219
477,2367,3094,4117,4430
484,1438,2125,3094,4383
484,1438,2125,3125,4289
430,1555,2047,2977,4289
453,2313,3039,4117,4391
469,2336,3047,3883,4461
414,1117,2289,3156,3969
289,2313,3172,3938,4406
227,992,1172,2367,4406
242,2297,3297,3750,4453
258,2352,3367,3641,4102
281,1820,2914,3984,4406
297,1750,2203,2836,4414
313,1758,2813,3844,4281
328,1766,2891,3914,4367
336,1836,2906,3719,4633
352,1844,2945,3773,4430
352,1828,2906,3836,4609
359,1836,2898,3828,4648
352,1820,2938,3945,4734
352,1883,2969,4078,4742
352,1859,2984,3969,4594
344,1852,2977,3992,4641
344,1742,2977,3938,4688
336,1742,2984,3930,4609
344,1789,2977,4000,4563
352,1813,2898,4055,4297
344,1758,2906,3938,4633
336,1969,2938,3938,4500
320,1859,2445,2953,4570
258,1961,3047,3859,4359
281,1898,2336,2992,4313
281,1875,2820,3672,4227
289,1852,2844,3672,4484
250,1484,2898,4117,4484
211,1484,3063,3883,4586
211,1617,2938,3883,4227
320,2242,2906,3883,4313
297,2313,3188,3906,4547
305,1391,2305,3188,3906
305,1391,2320,3188,3883
313,1391,2367,3156,3859
313,2383,3188,3906,4602
289,2367,3172,3922,4516
313,2414,3211,3883,4617
320,2398,3203,3898,4633
305,2328,3188,3953,4656
344,2438,3211,3961,4563
328,2383,3164,3945,4344
305,2328,3078,3867,4344
258,648,2305,3008,3953
211,648,2258,2953,3922
180,773,2250,2984,3938
203,844,2258,2969,3922
