F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-9.93437083319721,2.7943526975569,1.70780053247759,1.16598295514264,0.72552013737188,0.549708550411297,0.264696088381302,0.258432277403089,-0.0440905916600667,0.0522303489820802,0.0101211691535152,0.0542364378922897,-0.0654585678067637,-0.0937940684574613,-0.0075616912647087,0.0725189012467621,-0.0244805069260169,-0.00307178306737968,-0.0328960479054535,0.0292534525899949,0.00638614896181474,-0.00279123300138771,-0.0216109674827703,0.0166190927757229,-0.0143094017586166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.963200429377275,-9.96982422029525,2.98557012468151,1.89641884981688,1.25412945576482,0.720421241445961,0.436155339954231,0.255019392703182,0.119807490650996,-0.092117707335221,0.0199259017917664,-0.0429891352618629,-0.0201857928077811,-0.0498005068887964,0.0156289903973208,-0.00182655836864601,0.0205038561524633,-0.0572087437517504,0.0521636020156618,0.0121873526099908,-0.0402781339126445,-0.0143767007532552,0.0482983109079419,-0.0237809285780724,0.00555537736834401,-0.0262911004337059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0455391562858544,0,0,0.482897082087218,-9.94152264012896,2.94406075723186,1.8387249997921,1.26925047101851,0.710689493305646,0.582682411145647,0.369812920605116,-0.0104922356844134,-0.110823255594439,0.0238154359818716,-0.0322413641391234,-0.0237220930919508,-0.0796275734098326,0.0457197455576876,0.0137572787748909,0.00881797364831747,-0.0388783720771458,-0.0168833341214338,0.0666321928993537,-0.0331919462337092,-0.0281595624913354,0.0459490536043099,-0.0514408841250099,0.0710763845768125,-0.0787608651740595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0957254641824926,0,0,0.492271835383312,-10.0394339687746,2.83588624697497,1.91639755737641,1.34504675101135,0.685628606941965,0.65440293074298,0.358657482065846,0.0268524914658418,-0.132542283479008,0.0759492231560856,-0.0867180437379268,-0.00556566847550637,-0.0695077894508645,0.0287375203717134,-0.0388941938498958,0.0770636997188793,-0.0240247739701922,-0.047530883512068,0.0401161076861849,-0.00979240998271117,-0.00857445555952123,0.0394318728919139,-0.093363519790132,0.120532557092021,-0.0918328049450438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.104352835819836,0,0,0.548790853389985,-10.0709029290054,2.84146732065771,1.91113702904018,1.29307528647448,0.73254220118167,0.570096184737356,0.309941756054536,0.124251537742286,-0.0189871318038193,-0.00976465127854888,-0.18243908622875,0.028768243252238,-0.0488166003132494,0.0228397611127868,0.0150376597559563,0.0172879978179158,-0.0461983128023634,0.0278126105089219,-0.00585927081320374,-0.000926996888797651,-0.0327094917222078,0.0868204609175532,-0.108031218257369,0.0669075569527984,-0.00644039784647328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.22865819481812,0,0,0.0927749973373383,-10.0956734037732,2.7942774334049,1.83667028165354,1.23801395288541,0.850480659874422,0.549951154965109,0.264328567017542,0.168470297923273,-0.00501557486256643,-0.061327539984431,-0.175029343019426,0.0495483607283488,-0.0360274150244025,-0.0159073252482004,0.0570789314996843,0.0231312411262174,-0.101645503298779,0.0521285178361281,0.000647797021815798,0.0260391421350479,-0.0650908820897146,0.0530931626740062,-0.025572147071744,0.0103917674092453,-0.00641621004016739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.517979275676499,0,0,0.092371831717593,-10.2113759358568,2.55560203370401,1.66802596219654,1.17019830252469,0.888418623483137,0.696439845296435,0.328342614858751,0.228752256356157,0.0637289606919451,0.0915957748521,-0.12366320025742,-0.014005752625773,-0.0443404584381722,0.0156421804934939,-0.0455384833344906,0.0908537649501401,-0.0617319962211486,-0.0238505719634044,-0.0240699949041953,0.106623048524185,-0.0612393903397438,-0.0309717177697254,0.0290325913503582,0.0218913947991379,-0.0466170673683483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.488541177389915,0,0,0.151030681727183,-10.4473465660763,2.28033527040027,1.48127408022848,1.11212076553979,0.904128001814092,0.875983667654131,0.508793648152772,0.245841110626262,0.200255686370107,0.196643025039914,-0.0168701544668704,-0.128449171529052,-0.0475418370065453,0.0792567497014579,-0.0641403586500862,0.0262843528363291,-0.0330691747640468,-0.0471560179159027,-0.0237247829151622,0.14783817237697,-0.0754389035958653,-0.0563024526720908,0.0412206716009936,0.0337336052125281,-0.0482436285042862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.290107137216677,0,0,0.315079920057913,-10.5179493398153,2.22004743736939,1.45455415601775,1.21869645307102,0.865265468188032,0.777861877118385,0.59924883519843,0.342606180122638,0.0741850749018315,0.138612570885763,0.0288487040389588,-0.0305665878141727,-0.0971127773774543,0.061531758293491,0.0325916917327877,-0.0921294187470223,-0.0435119926793719,0.0294949648992316,-0.0253653423648649,0.103522972059012,-0.0754475124431205,-0.035171926128507,0.0565345465444189,0.00535022132397467,-0.0321650924806682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114.5,0,0,0,0,0,0,-0.290107137216677,0,0,0.355872167227578,-10.3742918058675,2.29383438005726,1.28626950075871,1.24120407154221,0.907673251205678,0.71937959460899,0.577040575567182,0.332373694549411,-0.071301930415479,0.131304803407753,-0.146943245524957,0.0839326573864464,-0.0458219187897507,0.012771446201124,0.0191264443288749,-0.0705355944413181,-0.020276399870681,0.0340799890809491,-0.0234977491297867,0.0577705923765111,-0.0533183155819281,-0.015756987378219,0.0425603220810476,-0.010822885918989,-0.00291883575780753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
