F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.7066030572389,1.74860811084862,0.898511744501972,0.833485521518706,0.548156639665331,0.592661514675369,0.374891044181737,0.304357962723641,0.0619800991643168,0.0587555334184816,-0.109837602662004,0.0876077130663054,-0.0953440638529433,0.0425416175194076,0.0129444547740984,0.00307295267592621,-0.00410877224935701,-0.0842833676777194,0.0271437906254153,0.0218294888152758,0.0358629360789144,-0.0497030487014408,-0.0119388133989786,0.0612794214921711,-0.0719739196644741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-10.3932916649214,1.94350319679414,1.20338807071674,1.16041311311642,0.421271676142257,0.368728979874674,0.0299334004297266,0.25761803098263,-0.027465534663277,-0.0618847897472283,0.00563938966342603,0.085506701112352,-0.0454605083643241,-0.00591772063222932,-0.00801404072832856,0.00247638485908882,-0.008158824617625,-0.00847450650648482,-0.0345020672476389,0.0603454364950185,-0.000250711589631539,-0.0380335826279162,0.00063463953255683,0.030489023772921,-0.021484938998476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.034497480222454,0,0,0,-9.9799750077293,2.3298968609919,1.4939371692241,1.05006817958556,0.231286983399596,0.273651667890781,-0.116432725451501,-0.0644835296963031,-0.110234300897806,0.00407687484311283,0.055284064621642,-0.00835842065573867,-0.0643428154168816,0.0724125252712718,-0.0128930311314309,-0.0472694943941208,0.0380484210311489,0.0194184740756518,-0.0697638108022937,0.0819873858084219,-0.0685894108745296,0.0495742021634347,-0.0362479413176879,0.0264705694979254,-0.0167615019488627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0801169277721308,0,0,0.582701604268486,-9.92442316972111,2.40242519332485,1.62694558158613,0.921833947633029,0.161017630941839,0.293789535363454,0.0265796730701935,-0.123545242303561,-0.172416354518941,0.0841031496857564,0.0438114428118558,-0.030103360600893,-0.05846423995417,0.0595183211796742,-0.00559997509131382,-0.0154433237012898,-3.29676697621364e-05,0.0071845862429089,-0.0105645118771226,0.0250667727699357,-0.0463784650353945,0.0577085768935474,-0.0577521951070287,0.0529783240367923,-0.0482516357473854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0910347873737928,0,0,0.194925863029362,-9.98433203039968,2.29808770726072,1.59813201009252,1.1751335161586,0.294652010962292,-0.00311858455143139,-0.0492772564419474,0.0418400667508048,-0.0770796467055685,-0.016202082184153,-0.0219642414243762,0.0358071102386705,-0.0262666868470598,0.00772666814443509,-0.0164549651236256,0.0499335027121706,-0.0649213651559357,0.0391284786302267,-0.0183681981564463,0.0291675533797912,-0.0496026420158214,0.0465623513777205,-0.0232036790220686,0.00343645490675786,-0.00414740657534627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.106803898446157,0,0,0.199640384579718,-10.3223768424994,2.05689263209084,1.29892928849491,1.05390324274637,0.499661378174208,0.163329941374142,0.196314215286042,0.339730806026999,0.0253079960135666,0.0525653960558381,-0.0190197835167022,0.00769516647024678,-0.0680670451844061,0.125480816617297,-0.105303124933146,0.0442057812441558,-0.0570086434490379,-0.0285623502319864,0.0519960775406335,0.0339593172179232,-0.0779141570579283,0.0655753985717686,-0.0414948345861158,-0.0104628733608214,0.0559118044980495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.3270866652456,0,0,0.163114116375389,-10.5950744103068,1.85869589008657,1.03910873986703,0.926928238903227,0.5919855792113,0.570142466966108,0.426505007424957,0.491514896749507,0.120254124707283,0.0156849032475453,0.0137557718389348,-0.0445763390357363,-0.0865222798904722,0.121695776203599,-0.0438567403805217,-0.0264566863273049,-0.0759222499087983,0.0230668716955645,0.0502053970970705,-0.00183022819701296,-0.0423000615419181,0.0451507671763243,-0.054318746151039,0.0430023537178322,-0.0174407122611807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.413758150406284,0,0,0.180690817330651,-10.4343071893737,2.01563744752475,1.11041049820584,1.08589432492159,0.674026332842309,0.562081221272967,0.245777714475087,0.222048553019059,0.0719292240340959,-0.11381453589499,-0.070464257536444,0.0506177008912888,-0.127663194051823,0.0620350459796371,0.0341383802865903,-0.0609368896558069,-0.0351728007443965,0.108331079957631,-0.0564049736391761,-0.0154727264644637,0.00638624864757609,0.031150885017941,-0.058829825948721,0.0814522748434605,-0.0884361928523341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.296120087565449,0,0,0.318721654192128,-10.5246491776596,1.91748676390406,1.11766141900068,1.03280001060585,0.702596341459298,0.627706211509643,0.288687950765122,0.0988563954475032,0.232726407118096,0.0251998222218611,-0.140244565199043,-0.0308726298637365,-0.0772869302195183,0.067382509711935,0.0486329463346387,-0.0336911197836619,-0.0599851246808785,0.0362716693185073,-0.0107206712073399,0.0131345252507818,-0.0158808670071954,0.0288474270420124,-0.0273869108804406,0.00201142655511881,0.00235422228624914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,-0.296120087565449,0,0,0.376546580433643,-10.6363712842096,1.83496480013266,1.11330327952569,0.837765100451069,0.57026119320109,0.670124761162924,0.36029399861826,0.231328904468792,0.342461723262209,0.0929931783765701,-0.117125563969315,-0.0956499028959349,0.0202577609596965,0.0809998007064545,0.0350966349938659,-0.0462715399937825,-0.149921612227844,0.056970941541096,0.0417200193484903,0.0121509820100874,-0.0282752621482183,0.00953379844893214,0.00203589869643377,-0.0365158651676518,0.0422407999611964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
