F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-8.59539343430238,2.37056431282963,0.827362868779228,0.938242816014027,0.539306402718985,0.493627056270755,0.252548919743444,0.232239977774391,0.149385720109181,0.168776425092647,0.108355727903574,0.131495136264832,-0.0109905970812527,-0.00294917296872556,-0.082077256839626,-0.0316937716921456,-0.0311880921419923,0.0501054137724398,0.00519181740991165,0.00916663185289894,-0.0329045943275145,0.0157407719332908,-0.0237276344888172,0.0134112839477176,-0.00939205094261072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-9.39287202138029,2.66256609966996,1.20286663093508,1.14190811944554,0.598402484068161,0.521957126206918,0.305788616381892,0.169910177452901,0.108903574090401,0.123251919867147,0.0697120739055353,0.135191303615917,0.074321436776668,-0.0328681309690644,-0.0947319404897552,-0.0461731757936283,0.0334572677508969,-0.000213773876033437,-0.00623268363453982,0.00791687126552495,0.0133904653708713,-0.00900809419631026,-0.0309583411721341,0.0136374395515789,-0.00599638214008695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0466583862924967,0,0,0,-10.0416020325447,2.78782842712122,1.59172003807825,1.24163125135521,0.782235504151851,0.69177428996043,0.339429926918035,0.13156015077441,0.0564007513763542,0.0501970747902992,-0.0266448228425884,0.113162072349154,0.037123371013795,-0.0396309321032412,-0.0731468196826637,0.0356341072943276,0.0189469906372047,-0.0849466765480707,0.0197435088521631,0.0185543656746933,0.0270476870924932,-0.0296431359531259,-0.0197356470869813,0.036569109910233,-0.0288184239597436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.11437419500743,0,0,0.547951196040781,-10.1328545047597,2.61085870833485,1.69787029117861,1.27602631060534,0.856988121435655,0.668642157992831,0.308082308299799,0.194631920595949,0.155491372684853,0.0262383112223765,-0.00235617083901804,0.0831915846263917,-0.0789994225813278,-0.0110076335916941,-0.0150866404183026,0.063572920246664,-0.0679389449497448,-0.0525974995742194,0.063623435850092,0.0111270606363296,-0.0434988194223477,0.0130927262462008,-0.0020733846301186,0.0340590876140639,-0.0491880318563808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.133390101872248,0,0,0.119582049154105,-10.1045632413635,2.66142740819727,1.82592680102211,1.32802582093806,0.780746462389422,0.529612946828243,0.259094254035777,0.27538741216631,0.178784157965504,-0.0312146455333882,0.0264535648409823,-0.0239403391195592,-0.181390454539186,-0.0347509059914773,0.15008930141047,0.0077498173745024,-0.0987162419361944,0.0453175623045013,-0.0024649736491402,-9.08469099608171e-05,-0.0461514222216898,0.0513820159777571,-0.00553842723872165,-0.00810625604859296,-0.00578858854745828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.161233288041883,0,0,0.11224448880536,-10.2935378125589,2.62704559018322,1.90253973294072,1.36006923197577,0.864120971775618,0.662769325978294,0.298596134234179,0.190718239164012,0.151302678185503,-0.0266426126368021,0.134275613637679,-0.0947728336334739,-0.164154118711074,-0.0106356370676902,0.126178034113132,-0.00255273237130862,-0.136724231179948,0.0677745417766881,0.0132740444636579,0.0086880214328682,-0.0240657111178698,-0.0130194562700328,0.0310405973161893,-0.00866755810286894,-0.0296185491881909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.41377823886915,0,0,0.0705540547510038,-10.4068219246537,2.39494896417906,1.76022081611671,1.33326349155557,0.956979490598924,0.699961670672535,0.404013866219529,0.302490559902814,0.19337518258784,0.0634235494801482,0.0769450763765673,-0.108878544859625,-0.0367581251122437,0.0131742866777269,-0.014980506304276,0.0324478406610947,-0.113923166583889,0.0363160527110385,0.0388843339396563,0.00150546821586105,-0.0297976218340406,-0.0202325279218399,0.0414657617637996,0.0160597120254711,-0.0848863943703546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.467795336200094,0,0,0.055116524319183,-10.3491553019822,2.37015213415022,1.55074323724991,1.30873686337492,0.919238510483579,0.711168105416155,0.38580111849755,0.427922879270237,0.185490972167258,0.0937850252306358,-0.0522403519321348,-0.0279985617009366,0.00873979751225832,-0.083239994312947,-0.026164627712501,0.0395703344150149,-0.020787134631955,0.010887243736629,0.00694296048451526,-0.029291700307329,-0.0214776630907945,0.0530733783029964,-0.00824195283859634,-0.0214516461089764,-0.0103737966868719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.299152184431025,0,0,0.15990510907143,-10.4459409001365,2.39369604355587,1.52441058296301,1.2468742883642,0.872539007681759,0.739256279664163,0.447746282451072,0.353603751218398,0.170628305021155,0.146739693422114,-0.0840302542040439,-0.0652989060400198,-0.0828332093253389,0.00247888717976416,0.00842105154569706,-0.0078628464025212,-0.00104145524531561,0.0225832857436258,-0.0310062120487161,-0.023270188100575,0.001825150766889,0.0653335408708229,-0.0287728374809137,-0.0401778563515279,0.0183847309561742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106.5,0,0,0,0,0,0,-0.299152184431025,0,0,0.25481595411508,-10.569296422806,2.32419625375732,1.54236626077164,1.12787893961029,0.831561057432624,0.77242976375675,0.555138678125267,0.352362222627811,0.184593226930842,0.234484507890168,-0.00540802093043018,-0.0639791096720425,-0.145125272004612,0.0516224708897734,0.00674918635970773,-0.0185074358520773,0.00228822793988419,0.0179852364787721,-0.0909025164049709,0.0327900758487786,0.0107890252497189,0.0389586706215393,-0.0201470882555855,-0.0286379296849172,0.0263690446266864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
