F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.2094228114977,2.47606476023943,1.48144553299114,1.12824810644127,0.778896478134893,0.664903403095164,0.236982109152261,0.182092494206706,0.212034164128208,0.0486626467734548,-0.0927906595519135,0.0151263838702722,-0.104656192720377,0.0525851540770671,-0.0622747119779926,0.0143340271528352,0.0197566464695913,0.0431664120278095,-0.105109080985023,0.0474979484432712,0.015463838111261,-0.00789228597831711,-0.0240191264461275,0.0513579623353868,-0.0748429619515234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-9.90426616580734,2.81311018358222,1.58283306698098,1.11067841557727,0.618209778772261,0.45724789443937,0.103108572141272,0.0549699274386206,0.0653913471718695,0.0127313110043665,-0.0865442014417995,0.0554486143992014,0.00102139419092891,-0.0852421041532425,0.0189359177173095,0.0332562436195279,-0.0418364494593833,0.0503997762382652,-0.0523893930266022,0.0166784414852193,0.00635729085575089,0.0220072876089722,-0.0732142871053675,0.0833670171134647,-0.0414781850842871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0659457402707534,0,0,0,-9.61260068517915,3.05069760274333,1.70340863924045,1.1967007190799,0.485673569522144,0.255107876641516,0.00664496106052348,-0.0914911827778025,-0.111029961812235,0.0611434743400352,-0.121863572633868,0.0499316171876986,0.0612111705017344,-0.0711423212097533,0.0174627120160318,0.00378677078409829,0.00806624922232094,-0.0195114324260573,-0.000494523923943602,0.0397157849485307,-0.0715389556791639,0.0761147154684563,-0.0586476484159028,0.032033107021278,-0.00889061736217692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.126916801412135,0,0,0.5849381567822,-9.5382978917021,3.01974701197468,1.60061471504941,1.18172997002794,0.581508375724825,0.136844789199613,0.0585869205775473,-0.0553579890125659,-0.12340564038716,0.0242160785807128,-0.0602567459810347,0.0805632669126854,-0.089821850527139,0.0488265147719562,0.00778117024919455,-0.0251717805911123,0.0118634973838256,-0.0149009232347463,0.0229427594545908,-0.017056812985243,-0.00220346592087039,0.0171507835657183,-0.0209033301467767,0.0125679502681727,0.00228498581767306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.121737709639857,0,0,0.194358904120641,-9.61381019954961,2.97144452814957,1.72662922874551,1.08435564786887,0.516438221266379,0.167170588973692,0.0033877565777808,-0.0431778502834194,-0.18144092688938,0.0711388038850221,-0.0427474306675557,0.0616065058909251,-0.112076804826176,0.0999359903191952,-0.023804758531839,-0.0166152963258439,-0.0155389308608551,0.0423532175580823,-0.031357068741884,0.00970134140888767,-0.0029610556752127,-0.000276241504935028,0.00992577675754695,-0.0207209012759999,0.0204884701576076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.17642755944014,0,0,0.174859096017864,-9.78016831824499,2.91669145622306,1.93095386629421,1.02680206013361,0.401247410647282,0.331909715906909,-0.0281608466849936,-0.0144751917706123,-0.261343840497925,0.105950588071063,0.0382876371235076,-0.0625125848796872,-0.0386567285079734,0.0781102891059337,-0.0273634392994023,-0.00842305673702727,-0.00589320957551024,0.0101009749840266,0.0061102828245343,-0.019596984434852,0.0188767268034578,-0.0165875715000099,0.0165778162869436,-0.0153804451425529,0.00899659270091946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.489491164865298,0,0,0.190191858425355,-9.71242639038985,2.89107224633002,1.69989014947445,0.957121399519952,0.510962160552938,0.313761766848129,0.0318503583442308,-0.0145453557000929,-0.230146809672091,0.00326161098251671,0.0652860210990467,-0.0213794028308132,-0.0353834903141829,0.0468197855961256,-0.0428627942778108,0.0391354881662588,-0.0285251521870015,0.00073039377236743,0.0216443974741075,-0.0366088267891821,0.0516794298250887,-0.0652930532124999,0.0594057241306572,-0.0296995642920302,-0.0105684850979551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.520977888587108,0,0,0.292525558143802,-9.97842467760832,2.60230951639961,1.50406655221965,0.987849693387592,0.597088145973309,0.315705252650415,0.146014447313435,0.12334419545799,-0.0124654909087447,-0.0035968664223418,-0.0308383518043271,0.0697961908127898,-0.00967720417519471,0.0547550491300071,-0.0928359308308354,-0.0388106924456889,0.0107793064024294,0.0751211377145445,-0.0790750043798833,0.031104924223874,0.0345096472622822,-0.0700765545496169,0.0527223292663947,-0.0221493550392186,-0.0111406463467402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.294295269326948,0,0,0.44913695030487,-10.4189765040171,2.17213419839403,1.29270606280931,1.02617948063544,0.69032025081694,0.45909739271685,0.376680291349501,0.350136401661943,0.274668316944605,0.0719672235991953,-0.107900009111003,-0.00198400729524786,0.0942734873751325,0.00254014665509128,-0.056985615664951,-0.0943774366238351,-0.0245149084011837,0.0706825794312377,0.00138243002173833,-0.00879730386136422,0.0224480310159866,-0.0476477291172287,0.0064635474424838,0.0344101892967925,-0.0218576686186139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.5,0,0,0,0,0,0,-0.294295269326948,0,0,0.513358710029705,-10.3795844565957,1.99269403362322,1.21757892938633,0.896992411814681,0.74817612805276,0.586314023907497,0.363801920527383,0.389896725129904,0.250518805327575,0.0957599551332634,-0.0572678644084464,0.0309892813995234,-0.0520189628340315,-0.0234845914568156,-0.0127096953291091,0.00634502600126769,-0.0617653133076385,-0.0106445026927122,0.0689607370684925,-0.00782826536558507,-0.0269295840002164,0.00619424235898216,-0.0302827652362867,0.0569627810953554,-0.0145500894487762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
