F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.6248793557216,2.0535027135902,1.05153592733726,0.738183966069186,0.467768504740766,0.672116054910038,0.340384451315761,0.251023694912745,0.175118076375872,0.155493107322614,0.117080487166378,0.0873060299191915,0.0371024759189896,0.0273309839699035,-0.0168548870597066,0.0112258026137651,-0.00229412184720161,-0.0721164967552447,-0.00211521591903359,0.0983133175798615,-0.113859840011617,-0.00731135182472813,0.0293354650967557,0.0292508623277519,-0.0274105834911505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-10.6723344192371,2.03477818955834,1.11721532224272,0.88714369990141,0.588775126024105,0.609104025428964,0.359253363072362,0.287120679422651,0.120395479013602,-0.0248007275969802,0.124132152917105,0.152102896784347,-0.0446123564531354,0.0595761424718257,-0.0349131409441594,0.015767793144613,-0.0456955671572833,-0.0530532125471226,-0.0115442984166806,0.08778442457835,-0.0253699091913366,-0.0375407233477862,-0.0208155904654426,0.0910118480369111,-0.0742165699414803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0681393740707621,0,0,0,-10.7556661546661,1.9485621204384,1.23449610921563,1.0270086761828,0.670300993625407,0.449146170318331,0.404478119989201,0.252432346389371,0.0355875249437938,0.0342533080628064,0.121744764374965,0.180943280133723,-0.0712938527289053,0.0751456207319145,-0.0548334747441945,0.00516234876400451,-0.102009986058043,-0.015876441732278,0.0186721847969362,0.0879671099447555,-0.0254491272441177,-0.0653597168847853,-0.0143984802455953,0.0909854219818919,-0.0560373504426119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.13669642426698,0,0,0.563495175790926,-10.6044103828781,2.13891991834876,1.30094467574533,0.987418289253169,0.60801986903321,0.442462950595532,0.289052152866141,0.173253160657035,-0.0503646995759374,0.15281031423927,0.021055009644863,0.105010532832703,-0.0489785347704253,0.0335425851513882,-0.0778548965276318,0.0695795370329275,-0.0572690068415947,-0.075175226397643,0.0569846364528175,0.0863388634348039,-0.08849614632725,-0.036673214042053,0.0763958944700983,-0.0278729565375061,-0.0125969106740447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.136431475615953,0,0,0.150163813381395,-10.464442501566,2.2419001141711,1.25906295584195,0.861193559891056,0.671858803941632,0.500418884284355,0.333732671392465,0.153678551063282,-0.21417507026812,0.0476816092597492,-0.0619419296519431,0.0479088308885231,-0.0306860739559862,-0.0704490282100511,-0.0338888216319414,0.137929013721202,-0.0256037191887109,-0.0844600084309216,-0.00654047638535593,0.121490428723435,-0.0792554938440641,-0.0382629372212532,0.0669518903700263,-0.0138883032814248,-0.0231122738713926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.144454191782453,0,0,0.13724955034113,-10.4472310176285,2.19494529604556,1.18491308043232,0.80772245128131,0.68955940648523,0.454233854404541,0.274676582029226,0.182048144663418,-0.22646881100078,-0.0950704211010523,-0.0172203770313393,0.0716963799015106,-0.00513480444799168,-0.124554112724678,0.0492664542725155,0.114723720575092,-0.112929514772275,0.0197627408995363,-0.0186160354078506,0.0476101590372051,-0.0112811182123346,-0.0367181584647019,0.0239187150337289,0.00118982251865152,0.0169253629880457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.369063412808743,0,0,0.0927446002532391,-10.3612232307774,2.16449743324733,1.13265664258225,0.794625056951004,0.605241077901674,0.506476070687726,0.130812881561829,0.0691919652532025,-0.151753488170887,-0.106352605733949,0.0208105442544161,0.10706690085049,-0.0507997658725386,-0.126664404481946,0.0677108100083752,0.109020307678684,-0.138541742698699,0.0447292249870916,0.0329199213560113,-0.050700636284492,0.00415914742923624,0.0583088400415018,-0.0638144171539662,-0.00122742238221322,0.0687878570116096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.436894423336087,0,0,0.0711233184743456,-10.5245139504002,1.97606102598279,1.03033517242065,0.697838958454819,0.602472847178954,0.560180793825747,0.339076249360567,0.129334645080906,-0.0753734881473213,-0.0105197920593027,0.069713879075262,0.0813738358241554,-0.0816317106625366,-0.105824882841934,0.0321902265091912,0.0748143441865692,-0.0810945935756248,0.014970027408478,0.0147405898210723,0.00260847414184568,-0.0464438293894628,0.0927393024969987,-0.0659607421506316,-0.0427992715380692,0.0975551817556291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.288821553780124,0,0,0.149393110564277,-10.730847562102,1.73807575915429,0.917272272240661,0.713185906842964,0.623802905497013,0.497406609831376,0.424476163442698,0.332060969844194,0.0312005143633473,0.077337926410688,-0.0382429915973763,0.0702672107289,-0.0740352156472679,-0.00946729933220637,0.036380147012957,-0.0163374155113015,-0.0707920384703778,0.0441398336509156,-0.035624774270806,0.0576179825992078,-0.0487039399442433,0.045800040323319,-0.0378976325468762,-0.0352451271164921,0.0952184754448063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,-0.288821553780124,0,0,0.221296712290682,-10.7518284947196,1.71117875384713,0.861124444502589,0.724718999726291,0.472943609766962,0.388545552259358,0.321091249600705,0.282402352943257,0.0546223765561051,0.0811884200046653,-0.0718131812164442,0.0675796111365479,-0.0206748367611102,0.0633640878030799,-0.0350777113749842,-0.0126787200595686,-0.0127910731257105,0.00057983355697884,-0.060599445314383,0.0783423428542673,-0.0303090984065065,-0.00728228691099751,0.00371637372697164,0.00571604338612339,0.0254895950026004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.5,0,0,0,0,0,0,-0.288821553780124,1.06140288269533,0.507641730543518,0.263579833102907,-10.7924600724296,1.71535214834694,0.874979875944538,0.640077813079315,0.419361408329285,0.460701256738321,0.259040594095965,0.104585531750608,-0.104602465761795,0.0483874531099747,-0.000580575089201448,0.110841009496644,0.00365920519269007,0.0245175255757648,-0.0344360111185499,0.00364160106835947,-0.0267973641136452,-0.004302822092564,-0.0606496059699054,0.0703640032081639,0.0172074297917231,-0.0337091830417363,-0.0267684585973275,0.077622849035733,-0.0735759758861358,0,0,0,0,0,0,0,0,0,0.0463094622048984,0.514449602687717,1.20081439974742,2.26063062419599,-2.37872664253017,-1.05822202200979,0.00695846195631738,1.99634805871962,-2.74579371805299,-0.853221551663623,-0.607402176500058,0.686494713920378,1.67596866285772,0.710917825041433,1.99020927150604,1.93634242781021,-7.95055593054886,0.0405071559535107,0.446013451039297,0.313623202851692,0.116224654671745,0.201088639884975,0.135450494462937,0.20084493347173,0.0410270579667989,0.0217456369792777,-0.286853288432229,-0.269864647210558,-0.19064158748369
186,0,0,0,0,0,0,-0.304742698951348,1.83632367861826,0.488012500752536,0.37584451495991,-10.7990157141112,1.63099155167703,0.832750764695274,0.623799072210501,0.403615898153992,0.366376792382804,0.269084831021222,0.175996483730054,-0.0714303005783709,0.0669700379409616,-0.0916815527839888,0.0103138308782732,0.0150833881770275,0.0984766206410851,0.0335465958955707,-0.0782521271763792,-0.0748041690786406,0.0473019387012944,-0.0237683438381155,0.02846377277083,0.00442310866413019,0.0313980601593497,-0.106198626598596,0.11969529775893,-0.0844376327580871,0,0,0,0,0,0,0,0,0,0.0426884602151555,0.475578897243876,1.13072516498049,2.21336125356451,-2.37347678745215,-1.06093115529502,0.00757280968313283,2.01123723948982,-2.74167758901032,-0.845153080119036,-0.602995906552072,0.689196006007126,1.66580817150813,0.715296040116321,1.99329393631613,1.93075340421396,-0.853592295021171,-1.28420604722501,-1.24594135493768,-1.13100272100493,-0.988867371380196,-0.827704978949839,-0.671406419607817,-0.470270558360388,-0.298445328867527,-0.161943697240981,-0.0369188131965956,0.0786575895634854,0.158676805627248
198,0,0,0,0,0,0,-0.320388552756659,2.4965369931992,0.449684897482853,0.445592554785943,-10.8445808771088,1.57702544721343,0.848805365227572,0.555998556482397,0.392740404393867,0.231204732155483,0.233264937140477,0.23489901219035,-0.00920360983964907,0.0636939557817883,-0.0710013325498991,-0.00532081898384596,0.0800000727217818,0.113087767418823,-0.0875994954817166,-0.00604239718914682,-0.0683551340545289,0.0619091605661842,-0.0356667902332659,-0.00404291198706335,0.00191675663634854,0.0742562252546382,-0.126033568194188,0.0960365538311456,-0.0228613358509797,0,0,0,0,0,0,0,0,0,0.0391534340550455,0.436964699515464,1.05538813036412,2.15547047336277,-2.36774183119964,-1.06550785618482,0.00697915454784913,2.02944976193412,-2.73631940119396,-0.837230240723938,-0.596825529448161,0.69256756248952,1.65129035515955,0.720089147366392,1.99443855810641,1.92548842069678,-0.587590307620117,-1.35865744739024,-1.31758014724987,-1.18906684360223,-1.0305704327072,-0.857470078406877,-0.687101295010979,-0.473263897335616,-0.298727305557163,-0.159144868671897,-0.0295837580067754,0.0883669702356844,0.163549097587133
