F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-9.00400014750196,0.388876923180283,0.0509185772646396,0.183202353871531,-0.0980765108264719,0.22743232193985,-0.0517834821334476,0.0687139250716118,-0.104991947397794,-0.0165689507109415,0.023391541508958,-0.0116761898805375,0.00801279393626446,0.0474344548171428,-0.0704401690177487,0.0217792933445391,0.0233263771223738,-0.00276032841470116,-0.0652342503182445,0.10259440617386,-0.0653648828198622,-0.00387679373964724,0.0398328588213352,-0.0320971396612983,0.0118361024486119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-8.88674830078281,1.25154897274013,0.401361213464514,0.255873864480389,-0.126696305379486,0.16243905382995,-0.0188246035567682,-0.00628419874305606,-0.0377297986182592,0.0325661136357844,-0.0693694756487212,0.0484294876651984,0.00145246277199099,0.0101841925836258,-0.0570693639853743,0.0549745331420318,0.00111012950437025,-0.0267683283591156,-0.0265757789890895,0.0876770209127123,-0.0792525494511197,0.0282580258054034,-0.00692343752972524,0.0293473969350276,-0.0577131294120182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-9.06746792171849,0,0,0,-8.97927320576867,2.19223054460624,0.978722285359631,0.728640021044569,0.00247650553481825,-0.033022257783831,-0.00672239122190452,0.0668852087283422,-0.00676712357220641,-0.0406667840280196,-0.0704399702554646,0.0965488599199857,-0.0614979045258702,0.0405242613521188,-0.0447647488513967,0.0514905304563146,-0.0448746034528397,0.0186333064090144,0.00633928124388007,-0.00945925123928838,-0.0128073236329855,0.0442111743171326,-0.0680924711812881,0.0757574408270266,-0.0688767414005146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.275878430520643,0,0,0.602335614282676,-9.28777464355854,2.19905234977944,1.27728492794587,0.989382294972904,0.299507889312591,0.119299301525873,0.0342178632227226,0.110612328143332,-0.0811963488420051,-0.0599137304043512,-0.112461123546201,0.0854322492017128,-0.0212366595705937,0.0548922257073118,-0.0674000678153191,0.0677452847035578,-0.0854892545279961,0.0446939689759504,0.0417195786181745,-0.0858576224842069,0.0560011624669856,0.00118057548929542,-0.0431139981990327,0.05732903357164,-0.0489612399521404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.288445268134853,0,0,0.35234943431454,-9.12968786381242,1.88334261632388,0.905525640071629,0.59373254448552,0.278479861872697,0.379048267950755,-0.0879126684355699,0.0213263575464719,-0.0895496096779455,-0.0239953184564944,-0.0496376291523382,0.00797195439699307,0.0576268237500165,0.00944546077401763,-0.0978409971915739,0.0996422097136664,-0.0403298143459872,-0.0236912891340639,0.0423500724564402,-0.0197200083177914,-0.00783086464394928,0.0226553923494315,-0.0387210024803778,0.058595908953268,-0.0645343766892852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.288445268134853,0,0,0.382699633169424,-9.12865199538673,1.40727585760887,0.521747331993814,0.492940375965142,0.236277309229407,0.388214925896253,-0.0986121409621121,0.136213879063095,-0.0869388661712783,-0.017306566449255,0.0477363366236019,-0.12587654817675,0.0595632298910218,0.0618260808213141,-0.110031769209379,0.0438651205482734,0.0566251876676324,-0.0865780885544686,0.0335286509678084,0.0305317825183479,-0.0661181914761405,0.076339435600959,-0.0695706097788061,0.0469276990603396,-0.0205876706707684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.403022966701866,0,0,0.436772623478826,-9.46972240216957,1.16662911519074,0.393666357314678,0.343448649086155,0.27352635384028,0.421740898841301,0.00954836088602827,0.115163451544738,0.000332251657767339,-0.00567099635163672,-0.074194990866821,-0.0385355073414366,0.0221543474735272,0.0533628887171983,-0.059842227963076,-0.00727999361936253,0.0484713252268981,-0.0228017696355925,-0.0154511818263868,0.0125024026757037,0.00799107378713841,-0.0140845076066278,0.008311691616977,-0.00844289100848435,0.012650827496451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.45915491583313,0,0,0.531238875557022,-9.49272245081304,1.06636110836741,0.480255021902639,0.340820687117055,0.177814157579334,0.300662366759214,-0.0648558536085587,0.109693626781245,-0.0914024140903346,0.0487073159055998,-0.100546314372404,0.00818711985187448,0.0490979837192712,-0.0273069403762893,0.00892363236436558,0.00622548695167021,-0.0473672167394669,0.0687713013360938,-0.0386859335330571,-0.0124855048275428,0.039552809437393,-0.0403333439379994,0.0318102953694264,-0.019184564167831,0.00133590879884259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.347255071710418,0,0,0.482938999415794,-9.53841852873235,0.902665300066094,0.383526619885247,0.36799716517104,0.170596887683909,0.164362025596871,-0.0858289480662501,0.214147134359108,-0.225939197191706,0.0656165902810255,0.0022972816721076,0.0234374035182477,-0.0201260280375884,-0.0734913357721993,0.0521443113664323,0.084071518505174,-0.129953239935808,0.0744280911586606,-0.0321822104852218,0.00422287659261095,0.0197267102228933,-0.009610541892636,-0.0157963458813544,0.0156856318933455,-0.00613532453665929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.5,0,0,0,0,0,0,-0.324338631602299,0,0,0.494968951694521,-9.620184610129,0.897221756895064,0.224760023438049,0.372708353664623,0.0909397122495907,0.0939506737203066,-0.00729281234758606,0.0263709981450575,-0.129415395979871,0.0513054758716518,0.0354911313237755,0.104354619432981,-0.0526147452835356,-0.0930476488039534,0.0282344204706389,0.109582540414711,-0.147757252806813,0.10602945757402,-0.0859670897043414,0.0525292318311329,0.0255532637398984,-0.0529983587140914,0.00081040859838661,0.0366258189269892,-0.029253761212499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
