F0,VUV,NAQ,QOQ,H1H2,PSP,MDQ,peakSlope,Rd,Rd_conf,creak,MCEP_0,MCEP_1,MCEP_2,MCEP_3,MCEP_4,MCEP_5,MCEP_6,MCEP_7,MCEP_8,MCEP_9,MCEP_10,MCEP_11,MCEP_12,MCEP_13,MCEP_14,MCEP_15,MCEP_16,MCEP_17,MCEP_18,MCEP_19,MCEP_20,MCEP_21,MCEP_22,MCEP_23,MCEP_24,HMPDM_0,HMPDM_1,HMPDM_2,HMPDM_3,HMPDM_4,HMPDM_5,HMPDM_6,HMPDM_7,HMPDM_8,HMPDM_9,HMPDM_10,HMPDM_11,HMPDM_12,HMPDM_13,HMPDM_14,HMPDM_15,HMPDM_16,HMPDM_17,HMPDM_18,HMPDM_19,HMPDM_20,HMPDM_21,HMPDM_22,HMPDM_23,HMPDM_24,HMPDD_0,HMPDD_1,HMPDD_2,HMPDD_3,HMPDD_4,HMPDD_5,HMPDD_6,HMPDD_7,HMPDD_8,HMPDD_9,HMPDD_10,HMPDD_11,HMPDD_12
0,0,0,0,0,0,0,0,0,0,0,-10.8780933234925,1.76234573542785,0.966542760405636,0.617168809014508,0.20510508535704,0.325815040484526,0.20750442723089,0.0976110193086113,0.115013950368081,0.177512574904488,0.0353730440610523,0.0740199827293627,-0.080213170680942,-0.0741495111039901,-0.0454336763986132,-0.0114433202835425,0.0889863414151771,-0.00627692243903024,-0.0810957968193521,0.0353019044252941,0.0413271720358777,-0.0767745914720334,0.0891365374506432,-0.0416462286365902,-0.0553627515091476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.963200429377275,-10.9694835512169,1.68079858490581,1.02448377141563,0.684729083864144,0.248450102224317,0.36613507343199,0.311940681609727,0.262823932767029,0.183324528004681,0.135959164516217,0.131454097769333,0.0899136736807569,-0.0900164331831718,-0.116138101216845,-0.0240648245793369,-0.0126850520492762,0.0838246451730784,-0.0186627865112392,-0.0418688285558211,-0.0131189057835647,0.0264453632930383,0.0102630601567161,-0.0193700681015213,0.0435919199214993,-0.0881150556956944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0518574089351988,0,0,0.482897082087218,-10.6996453492751,1.87163295341059,1.23617562065302,0.733611255563489,0.214334399878943,0.289505094181707,0.252406538254685,0.237843307848756,0.124758453793386,-0.0457477282249901,0.0235323845256445,0.10051330456167,-0.114038867104811,-0.00418792962879572,-0.00479424562390249,0.0257296244087154,0.012161963339354,-0.0207194308414187,-0.0415873004088807,0.04565068033164,-0.0294179204277388,0.0298302490185878,-0.0250251047508884,0.0175183018889569,-0.0222921112541124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0975141261386487,0,0,0.492271835383312,-10.4539999436248,2.19324532320693,1.35722361443027,0.763259811170425,0.23004494341179,0.218573973667548,0.0747038708586323,0.140669164146212,0.111037034751672,-0.139931562020709,-0.114540885032263,0.168395167860322,-0.153408425528886,0.0566668127819489,-0.0388906913559554,0.0986643198692947,-0.107541265214687,0.0483132877626708,0.00118494932964418,-0.00901828597949279,-0.0159456581265892,0.0384161836119198,-0.0363611400034006,0.0187577094613538,-0.0131296529575863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-0.0978519938239109,0,0,0.692845148600056,-10.3710856492826,2.23337811392094,1.257616950159,0.72202374367152,0.372705636819291,0.246482587372104,0.118166502738884,0.0844308825041692,0.0892839547734524,-0.0609171301541927,-0.104126475318365,0.0716711681404893,-0.0926272279968743,0.0557795361053704,-0.0709980237188729,0.142939659432657,-0.146864079833066,0.072778839693348,-0.01236023549065,0.00403086745176595,-0.0346799039728586,0.0574945132476461,-0.044549839236497,0.0113643837248143,0.00268314580780112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.125980476852296,0,0,0.443002376468496,-10.225662077551,2.26129640443467,1.32794462102958,0.770123774410195,0.441650642180401,0.160986685862677,0.103910275275308,-0.13118090319602,-0.108801796674133,0.0689284217746095,8.58684860218645e-05,-0.0406218103545386,-0.055373082056733,0.113039548933917,-0.0400656801795168,-0.0321169929206362,0.00614956936603244,0.0516361072897248,-0.0756540466530946,0.0638128082782747,-0.0416941489216946,0.0177078873058816,0.00428629802895472,-0.0192670281343254,0.0208238723371948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.273417826552374,0,0,0.413015538967843,-10.1615845320847,2.34737463346915,1.36800153930952,0.745194066961552,0.43435846015804,0.20852735250786,0.0757289150561789,-0.0697258030135442,-0.116653500926057,0.0070271311722241,-0.0202937402404547,0.0438938302085734,-0.0557418771195053,0.0296204336157313,0.0145708777880787,-0.0220269015889239,-0.019095119040131,0.0512950269385785,-0.0470291457050761,0.016264375022315,0.0149654844249522,-0.0326558881474211,0.0306657731948086,-0.0138607297100556,-0.00920306980635134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.35433624565167,0,0,0.391796397500415,-10.0617227370726,2.43957362922138,1.27483968745274,0.747061328705936,0.37592066056031,0.204026681616063,0.0341905590039813,0.0653471873559723,-0.121163090405475,-0.196351288847346,0.117026312869383,0.0686496947289622,-0.101886615433182,0.07434749996521,-0.0805102816364926,0.0854238316839339,-0.0673269309832602,0.0340648127485074,-0.00608119464998099,-0.0166778050601631,0.0346058579626555,-0.0433639929670315,0.0343009588475302,-0.0115037042068054,-0.012232143421134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,-0.303871872655432,0,0,0.538966980415733,-10.1114109515597,2.38899043433551,1.21013686793445,0.778945342268728,0.461770501865713,0.180504548998472,0.0811204969599962,-0.000594841350133695,-0.110731828728562,-0.106733431829654,0.0377369655979169,0.109518590277861,-0.151522412139947,0.0939551737772308,-0.0525084882543961,0.0628946574636735,-0.0884835777405243,0.0903249645698992,-0.0721528885749058,0.0353165617849917,0.00969134519685587,-0.0395940906632017,0.0330554625091157,-6.28163243413032e-05,-0.0313491347435644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.5,0,0,0,0,0,0,-0.301537259717198,0,0,0.634677676517632,-10.1300308465094,2.30762619732904,1.23203291113949,0.834786356672328,0.414884955951142,0.0927446526581326,0.00862240411524704,0.0253718111214427,-0.0701165131894289,0.0229426888701155,-0.0670464299073857,0.0892943521881485,-0.102406395622834,0.0129670335241011,0.057649871018702,-0.00536468880391374,-0.0977894142983332,0.143705365048596,-0.118953695931936,0.0563518487976562,-0.00103986875578393,-0.0216951642768514,0.0135484596299483,0.00185374690585148,-0.00734566555118485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
